time,Qdensity
0,0.17882
0.533333,0.195188
1.06667,0.203105
1.6,0.194338
2.13333,0.210573
2.66667,0.209629
3.2,0.205602
3.73333,0.212313
4.26667,0.209941
4.8,0.201103
5.33333,0.204798
5.86667,0.247231
6.4,0.282944
6.93333,0.265327
7.46667,0.253372
8,0.271266
8.53333,0.274657
9.06667,0.267021
9.6,0.257547
10.1333,0.246415
10.6667,0.238998
11.2,0.237964
11.7333,0.238959
12.2667,0.239158
12.8,0.240324
13.3333,0.239372
13.8667,0.238619
14.4,0.237894
14.9333,0.23764
15.4667,0.237913
16,0.233633
16.5333,0.236349
17.0667,0.235783
17.6,0.235506
18.1333,0.233063
18.6667,0.246887
19.2,0.253501
19.7333,0.246392
20.2667,0.242279
20.8,0.241323
21.3333,0.236251
21.8667,0.236029
22.4,0.23615
22.9333,0.247562
23.4667,0.252635
24,0.249408
24.5333,0.245202
25.0667,0.245342
25.6,0.251039
26.1333,0.263275
26.6667,0.263501
27.2,0.285984
27.7333,0.316777
28.2667,0.348295
28.8,0.382194
29.3333,0.398898
29.8667,0.414369
30.4,0.430959
30.9333,0.441974
31.4667,0.447195
32,0.446625
32.5333,0.445318
33.0667,0.443668
33.6,0.447175
34.1333,0.450363
34.6667,0.495464
35.2,0.516155
35.7333,0.516869
36.2667,0.52536
36.8,0.520674
37.3333,0.520986
37.8667,0.515231
38.4,0.515824
38.9333,0.519733
39.4667,0.531509
40,0.564721
40.5333,0.585159
41.0667,0.590813
41.6,0.596939
42.1333,0.601929
42.6667,0.609136
43.2,0.617505
43.7333,0.622078
44.2667,0.615207
44.8,0.609975
45.3333,0.611574
45.8667,0.606561
46.4,0.606112
46.9333,0.611161
47.4667,0.627451
48,0.655212
48.5333,0.656071
49.0667,0.664733
49.6,0.684062
50.1333,0.691768
50.6667,0.693953
51.2,0.703614
51.7333,0.703786
52.2667,0.70363
52.8,0.701187
53.3333,0.692677
53.8667,0.687722
54.4,0.702494
54.9333,0.715725
55.4667,0.720146
56,0.719803
56.5333,0.720373
57.0667,0.719854
57.6,0.718636
58.1333,0.717887
58.6667,0.719725
59.2,0.720533
59.7333,0.721563
60.2667,0.722163
60.8,0.721703
61.3333,0.719924
61.8667,0.719222
62.4,0.719366
62.9333,0.717723
63.4667,0.717735
64,0.71768
64.5333,0.717403
65.0667,0.715698
65.6,0.715386
66.1333,0.715125
66.6667,0.716217
67.2,0.715304
67.7333,0.713135
68.2667,0.713041
68.8,0.712748
69.3333,0.713958
69.8667,0.714692
70.4,0.715445
70.9333,0.714352
71.4667,0.714212
72,0.714988
72.5333,0.712276
73.0667,0.713392
73.6,0.713029
74.1333,0.714851
74.6667,0.714598
75.2,0.710837
75.7333,0.708542
76.2667,0.706997
76.8,0.709518
77.3333,0.696763
77.8667,0.705011
78.4,0.709721
78.9333,0.712581
79.4667,0.713455
80,0.71475
80.5333,0.714489
81.0667,0.71333
81.6,0.711999
82.1333,0.710478
82.6667,0.708667
83.2,0.711847
83.7333,0.712464
84.2667,0.712721
84.8,0.712343
85.3333,0.710224
85.8667,0.707898
86.4,0.70706
86.9333,0.706775
87.4667,0.705729
88,0.706771
88.5333,0.705483
89.0667,0.704391
89.6,0.706061
90.1333,0.705495
90.6667,0.705971
91.2,0.705132
91.7333,0.703041
92.2667,0.702412
92.8,0.702412
93.3333,0.704637
93.8667,0.706693
94.4,0.710692
94.9333,0.713825
95.4667,0.713736
96,0.709619
96.5333,0.714079
97.0667,0.715089
97.6,0.714972
98.1333,0.719846
98.6667,0.734146
99.2,0.734513
99.7333,0.745754
100.267,0.740525
100.8,0.74335
101.333,0.742574
101.867,0.743932
102.4,0.747627
102.933,0.762641
103.467,0.757736
104,0.761743
104.533,0.754927
105.067,0.767889
105.6,0.781885
106.133,0.784635
106.667,0.754201
107.2,0.743354
107.733,0.738758
108.267,0.733834
108.8,0.726327
109.333,0.711671
109.867,0.700282
110.4,0.685194
110.933,0.707075
111.467,0.717399
112,0.714496
112.533,0.708886
113.067,0.731278
113.6,0.71882
114.133,0.729468
114.667,0.73056
115.2,0.749242
115.733,0.665536
116.267,0.606775
116.8,0.507927
117.333,0.466856
117.867,0.460652
118.4,0.503162
118.933,0.461998
119.467,0.395976
120,0.390408
120.533,0.415972
121.067,0.404942
121.6,0.385609
122.133,0.366427
122.667,0.348498
123.2,0.321876
123.733,0.292765
124.267,0.303109
124.8,0.27539
125.333,0.338338
125.867,0.341838
126.4,0.388855
126.933,0.495316
127.467,0.575795
128,0.559961
128.533,0.451854
129.067,0.359591
129.6,0.32906
130.133,0.286577
130.667,0.256665
131.2,0.233387
131.733,0.17431
132.267,0.144032
132.8,0.142046
133.333,0.15903
133.867,0.247988
134.4,0.388582
134.933,0.459497
135.467,0.546316
136,0.445556
136.533,0.342774
137.067,0.296667
137.6,0.229637
138.133,0.215298
138.667,0.175469
139.2,0.144242
139.733,0.148585
140.267,0.190931
140.8,0.274212
141.333,0.443492
141.867,0.645243
142.4,0.732211
142.933,0.723451
143.467,0.604309
144,0.43181
144.533,0.427167
145.067,0.346313
145.6,0.240761
146.133,0.200245
146.667,0.167696
147.2,0.150423
147.733,0.138791
148.267,0.137399
148.8,0.139228
