Frame,Time,Density
1,0,0.165794
2,0.067,0.164948
3,0.134,0.167691
4,0.201,0.167236
5,0.268,0.168177
6,0.335,0.168725
7,0.402,0.168067
8,0.469,0.174337
9,0.536,0.176296
10,0.603,0.177785
11,0.67,0.182284
12,0.737,0.184275
13,0.804,0.188523
14,0.871,0.189056
15,0.938,0.187034
16,1.005,0.185889
17,1.072,0.185153
18,1.139,0.183507
19,1.206,0.178789
20,1.273,0.173506
21,1.34,0.17324
22,1.407,0.172973
23,1.474,0.173773
24,1.541,0.175183
25,1.608,0.175763
26,1.675,0.176578
27,1.742,0.180779
28,1.809,0.185874
29,1.876,0.188444
30,1.943,0.190984
31,2.01,0.191579
32,2.077,0.192912
33,2.144,0.194338
34,2.211,0.194417
35,2.278,0.195718
36,2.345,0.194354
37,2.412,0.192112
38,2.479,0.189307
39,2.546,0.190905
40,2.613,0.191689
41,2.68,0.191282
42,2.747,0.191235
43,2.814,0.19263
44,2.881,0.193382
45,2.948,0.192253
46,3.015,0.192081
47,3.082,0.191109
48,3.149,0.190717
49,3.216,0.193429
50,3.283,0.194793
51,3.35,0.194495
52,3.417,0.194323
53,3.484,0.193523
54,3.551,0.193382
55,3.618,0.195044
56,3.685,0.195827
57,3.752,0.196141
58,3.819,0.198414
59,3.886,0.197395
60,3.953,0.193852
61,4.02,0.193429
62,4.087,0.192285
63,4.154,0.191673
64,4.221,0.19009
65,4.288,0.190608
66,4.355,0.188868
67,4.422,0.188225
68,4.489,0.188021
69,4.556,0.188068
70,4.623,0.189056
71,4.69,0.187864
72,4.757,0.186109
73,4.824,0.18567
74,4.891,0.185403
75,4.958,0.187331
76,5.025,0.188335
77,5.092,0.189808
78,5.159,0.191532
79,5.226,0.195044
80,5.293,0.203524
81,5.36,0.212067
82,5.427,0.215452
83,5.494,0.221722
84,5.561,0.226676
85,5.628,0.241128
86,5.695,0.247429
87,5.762,0.250705
88,5.829,0.255235
89,5.896,0.260298
90,5.963,0.263543
91,6.03,0.26591
92,6.097,0.266898
93,6.164,0.268058
94,6.231,0.265126
95,6.298,0.263308
96,6.365,0.259264
97,6.432,0.253496
98,6.499,0.251364
99,6.566,0.246348
100,6.633,0.242288
101,6.7,0.240062
102,6.767,0.234278
103,6.834,0.231927
104,6.901,0.233149
105,6.968,0.229779
106,7.035,0.231033
107,7.102,0.2334
108,7.169,0.237256
109,7.236,0.239231
110,7.303,0.242664
111,7.37,0.244294
112,7.437,0.242398
113,7.504,0.244749
114,7.571,0.247445
115,7.638,0.248229
116,7.705,0.24906
117,7.772,0.251348
118,7.839,0.248887
119,7.906,0.247022
120,7.973,0.246081
121,8.04,0.246426
122,8.107,0.250282
123,8.174,0.250988
124,8.241,0.249483
125,8.308,0.246724
126,8.375,0.24594
127,8.442,0.242006
128,8.509,0.241018
129,8.576,0.236504
130,8.643,0.233306
131,8.71,0.233306
132,8.777,0.231519
133,8.844,0.232538
134,8.911,0.231457
135,8.978,0.230453
136,9.045,0.230955
137,9.112,0.231174
138,9.179,0.229325
139,9.246,0.229748
140,9.313,0.225171
141,9.38,0.222788
142,9.447,0.221785
143,9.514,0.21865
144,9.581,0.216079
145,9.648,0.215076
146,9.715,0.212647
147,9.782,0.210076
148,9.849,0.209527
149,9.916,0.209073
150,9.983,0.20901
151,10.05,0.208383
152,10.117,0.206016
153,10.184,0.205765
154,10.251,0.204543
155,10.318,0.203806
156,10.385,0.203728
157,10.452,0.20368
158,10.519,0.205859
159,10.586,0.205938
160,10.653,0.207505
161,10.72,0.208759
162,10.787,0.208665
163,10.854,0.209088
164,10.921,0.209323
165,10.988,0.20912
