frame,time,Qdensity
1,0,0.134347
2,0.067,0.177367
3,0.134,0.17843
4,0.201,0.159716
5,0.268,0.181587
6,0.335,0.182197
7,0.402,0.183541
8,0.469,0.188736
9,0.536,0.191171
10,0.603,0.194288
11,0.67,0.190412
12,0.737,0.164494
13,0.804,0.194725
14,0.871,0.184126
15,0.938,0.20483
16,1.005,0.173993
17,1.072,0.203061
18,1.139,0.20209
19,1.206,0.197569
20,1.273,0.192972
21,1.34,0.193517
22,1.407,0.182762
23,1.474,0.189718
24,1.541,0.194512
25,1.608,0.164157
26,1.675,0.193204
27,1.742,0.196731
28,1.809,0.20134
29,1.876,0.203362
30,1.943,0.205881
31,2.01,0.19221
32,2.077,0.20836
33,2.144,0.209592
34,2.211,0.209989
35,2.278,0.210755
36,2.345,0.210675
37,2.412,0.209367
38,2.479,0.20779
39,2.546,0.208151
40,2.613,0.208304
41,2.68,0.207281
42,2.747,0.197449
43,2.814,0.207201
44,2.881,0.207145
45,2.948,0.205107
46,3.015,0.204585
47,3.082,0.203963
48,3.149,0.203558
49,3.216,0.204685
50,3.283,0.206082
51,3.35,0.197176
52,3.417,0.208617
53,3.484,0.1987
54,3.551,0.209423
55,3.618,0.210903
56,3.685,0.210819
57,3.752,0.183147
58,3.819,0.190517
59,3.886,0.212845
60,3.953,0.208665
61,4.02,0.207534
62,4.087,0.206711
63,4.154,0.205323
64,4.221,0.202628
65,4.288,0.202134
66,4.355,0.198223
67,4.422,0.197581
68,4.489,0.197449
69,4.556,0.171321
70,4.623,0.198183
71,4.69,0.187933
72,4.757,0.197437
73,4.824,0.197794
74,4.891,0.198937
75,4.958,0.200959
76,5.025,0.190834
77,5.092,0.204144
78,5.159,0.199097
79,5.226,0.211204
80,5.293,0.219139
81,5.36,0.227944
82,5.427,0.232012
83,5.494,0.238956
84,5.561,0.245696
85,5.628,0.259126
86,5.695,0.265172
87,5.762,0.268698
88,5.829,0.272982
89,5.896,0.278739
90,5.963,0.281767
91,6.03,0.284263
92,6.097,0.284752
93,6.164,0.27228
94,6.231,0.283051
95,6.298,0.281836
96,6.365,0.277688
97,6.432,0.272248
98,6.499,0.259186
99,6.566,0.264598
100,6.633,0.261509
101,6.7,0.259592
102,6.767,0.237255
103,6.834,0.220595
104,6.901,0.252579
105,6.968,0.249342
106,7.035,0.251312
107,7.102,0.255516
108,7.169,0.259066
109,7.236,0.260446
110,7.303,0.264233
111,7.37,0.22275
112,7.437,0.263371
113,7.504,0.266648
114,7.571,0.246446
115,7.638,0.270547
116,7.705,0.272802
117,7.772,0.275469
118,7.839,0.275032
119,7.906,0.273608
120,7.973,0.272485
121,8.04,0.272509
122,8.107,0.275425
123,8.174,0.275465
124,8.241,0.274928
125,8.308,0.262656
126,8.375,0.272537
127,8.442,0.270294
128,8.509,0.25193
129,8.576,0.263619
130,8.643,0.244255
131,8.71,0.259487
132,8.777,0.257108
133,8.844,0.257229
134,8.911,0.257088
135,8.978,0.255163
136,9.045,0.255588
137,9.112,0.233641
138,9.179,0.254677
139,9.246,0.254385
140,9.313,0.23758
141,9.38,0.247549
142,9.447,0.246598
143,9.514,0.244255
144,9.581,0.242246
145,9.648,0.241315
146,9.715,0.239389
147,9.782,0.22646
148,9.849,0.237275
149,9.916,0.18267
150,9.983,0.236782
151,10.05,0.220238
152,10.117,0.234616
153,10.184,0.234784
154,10.251,0.234431
155,10.318,0.234539
156,10.385,0.234487
157,10.452,0.234547
158,10.519,0.235743
159,10.586,0.236084
160,10.653,0.236405
161,10.72,0.237131
162,10.787,0.237781
163,10.854,0.23833
164,10.921,0.238134
165,10.988,0.236898
166,11.055,0.235948
167,11.122,0.236048
168,11.189,0.235923
169,11.256,0.236036
170,11.323,0.236032
171,11.39,0.236537
172,11.457,0.236361
173,11.524,0.23669
174,11.591,0.236983
175,11.658,0.237484
176,11.725,0.237689
177,11.792,0.23827
178,11.859,0.238491
179,11.926,0.238102
180,11.993,0.23809
181,12.06,0.236634
182,12.127,0.191804
183,12.194,0.237231
184,12.261,0.237231
185,12.328,0.23752
186,12.395,0.237323
187,12.462,0.237103
188,12.529,0.237123
189,12.596,0.237127
190,12.663,0.237071
191,12.73,0.190629
192,12.797,0.236742
193,12.864,0.236938
194,12.931,0.236597
195,12.998,0.236433
196,13.065,0.236465
197,13.132,0.23667
198,13.199,0.235835
199,13.266,0.235827
200,13.333,0.235655
201,13.4,0.200313
202,13.467,0.235478
203,13.534,0.235506
204,13.601,0.236345
205,13.668,0.236305
206,13.735,0.236276
207,13.802,0.235887
208,13.869,0.235619
209,13.936,0.235599
210,14.003,0.235755
211,14.07,0.235683
212,14.137,0.225036
213,14.204,0.235278
214,14.271,0.223295
215,14.338,0.219685
216,14.405,0.235619
217,14.472,0.235639
218,14.539,0.235482
219,14.606,0.235041
220,14.673,0.233765
221,14.74,0.223223
222,14.807,0.233717
223,14.874,0.232967
224,14.941,0.231041
225,15.008,0.230741
226,15.075,0.184716
227,15.142,0.231009
228,15.209,0.231932
229,15.276,0.232129
230,15.343,0.232947
231,15.41,0.233549
232,15.477,0.233894
233,15.544,0.233705
234,15.611,0.232939
235,15.678,0.233015
236,15.745,0.232911
237,15.812,0.210923
238,15.879,0.233027
239,15.946,0.233224
240,16.013,0.211164
241,16.08,0.233424
242,16.147,0.233821
243,16.214,0.181888
244,16.281,0.233737
245,16.348,0.23334
246,16.415,0.233196
247,16.482,0.21096
248,16.549,0.233376
249,16.616,0.23334
250,16.683,0.220379
251,16.75,0.195162
252,16.817,0.231222
253,16.884,0.185952
254,16.951,0.230837
255,17.018,0.230769
256,17.085,0.234636
257,17.152,0.210607
258,17.219,0.205781
259,17.286,0.241114
260,17.353,0.244091
261,17.42,0.24507
262,17.487,0.23194
263,17.554,0.250249
264,17.621,0.250682
265,17.688,0.252664
266,17.755,0.253807
267,17.822,0.252431
268,17.889,0.251709
269,17.956,0.251288
270,18.023,0.250642
271,18.09,0.249615
272,18.157,0.249093
273,18.224,0.225501
274,18.291,0.224944
275,18.358,0.245756
276,18.425,0.244564
277,18.492,0.243457
278,18.559,0.241467
279,18.626,0.182201
280,18.693,0.239835
281,18.76,0.240252
282,18.827,0.240453
283,18.894,0.240116
284,18.961,0.240609
285,19.028,0.241407
286,19.095,0.241471
287,19.162,0.2418
288,19.229,0.241267
289,19.296,0.240003
290,19.363,0.239257
291,19.43,0.238667
292,19.497,0.201813
293,19.564,0.237155
294,19.631,0.236613
295,19.698,0.235366
296,19.765,0.234909
297,19.832,0.235077
298,19.899,0.233866
299,19.966,0.234002
300,20.033,0.233809
301,20.1,0.233585
302,20.167,0.21867
303,20.234,0.233958
304,20.301,0.233974
305,20.368,0.233853
306,20.435,0.23395
307,20.502,0.233569
308,20.569,0.233488
309,20.636,0.233585
310,20.703,0.233665
311,20.77,0.233753
312,20.837,0.211317
313,20.904,0.233934
314,20.971,0.234451
315,21.038,0.220876
316,21.105,0.237492
317,21.172,0.240432
318,21.239,0.242559
319,21.306,0.232875
320,21.373,0.24523
321,21.44,0.247894
322,21.507,0.214193
323,21.574,0.25014
324,21.641,0.250895
325,21.708,0.250887
326,21.775,0.226609
327,21.842,0.250461
328,21.909,0.250265
329,21.976,0.250674
330,22.043,0.238711
331,22.11,0.250056
332,22.177,0.249422
333,22.244,0.249422
334,22.311,0.248696
335,22.378,0.237444
336,22.445,0.246566
337,22.512,0.246305
338,22.579,0.245607
339,22.646,0.211473
340,22.713,0.244829
341,22.78,0.244725
342,22.847,0.242928
343,22.914,0.2429
344,22.981,0.243096
345,23.048,0.242631
346,23.115,0.24239
347,23.182,0.232317
348,23.249,0.242783
349,23.316,0.220603
350,23.383,0.230532
351,23.45,0.242779
352,23.517,0.242944
353,23.584,0.243786
354,23.651,0.184403
355,23.718,0.245302
356,23.785,0.246743
357,23.852,0.248696
358,23.919,0.251954
359,23.986,0.253955
360,24.053,0.239955
361,24.12,0.257149
362,24.187,0.259066
363,24.254,0.259929
364,24.321,0.260683
365,24.388,0.226103
366,24.455,0.240095
367,24.522,0.259507
368,24.589,0.260021
369,24.656,0.259728
370,24.723,0.259824
371,24.79,0.259993
372,24.857,0.260578
373,24.924,0.262456
374,24.991,0.242815
375,25.058,0.266925
376,25.125,0.271446
377,25.192,0.273544
378,25.259,0.277957
379,25.326,0.282907
380,25.393,0.285623
381,25.46,0.290573
382,25.527,0.296173
383,25.594,0.303478
384,25.661,0.307987
385,25.728,0.309925
386,25.795,0.314702
387,25.862,0.31928
388,25.929,0.220724
389,25.996,0.289241
390,26.063,0.329332
391,26.13,0.291849
392,26.197,0.337921
393,26.264,0.344596
394,26.331,0.353217
395,26.398,0.359736
396,26.465,0.361682
397,26.532,0.366536
398,26.599,0.370587
399,26.666,0.372673
400,26.733,0.377411
401,26.8,0.382285
402,26.867,0.386886
403,26.934,0.389137
404,27.001,0.389939
405,27.068,0.392711
406,27.135,0.39525
407,27.202,0.396666
408,27.269,0.399266
409,27.336,0.400658
410,27.403,0.401849
411,27.47,0.40546
412,27.537,0.407277
413,27.604,0.412063
414,27.671,0.415244
415,27.738,0.415721
416,27.805,0.418702
417,27.872,0.421658
418,27.939,0.422842
419,28.006,0.42583
420,28.073,0.428141
421,28.14,0.429052
422,28.207,0.4304
423,28.274,0.43257
424,28.341,0.433119
425,28.408,0.4346
426,28.475,0.436621
427,28.542,0.439855
428,28.609,0.441508
429,28.676,0.442286
430,28.743,0.443967
431,28.81,0.444195
432,28.877,0.444709
433,28.944,0.445732
434,29.011,0.449113
435,29.078,0.449306
436,29.145,0.449266
437,29.212,0.449386
438,29.279,0.449683
439,29.346,0.449214
440,29.413,0.448865
441,29.48,0.449751
442,29.547,0.449282
443,29.614,0.449274
444,29.681,0.448921
445,29.748,0.396855
446,29.815,0.448199
447,29.882,0.448119
448,29.949,0.447585
449,30.016,0.447842
450,30.083,0.386148
451,30.15,0.422433
452,30.217,0.446983
453,30.284,0.447156
454,30.351,0.446871
455,30.418,0.447617
456,30.485,0.447425
457,30.552,0.445335
458,30.619,0.445002
459,30.686,0.44578
460,30.753,0.444524
461,30.82,0.445607
462,30.887,0.446157
463,30.954,0.447525
464,31.021,0.448239
465,31.088,0.448588
466,31.155,0.448748
467,31.222,0.448279
468,31.289,0.448395
469,31.356,0.448813
470,31.423,0.449178
471,31.49,0.39945
472,31.557,0.450245
473,31.624,0.450193
474,31.691,0.451424
475,31.758,0.453719
476,31.825,0.455131
477,31.892,0.460298
478,31.959,0.468778
479,32.026,0.472421
480,32.093,0.434568
481,32.16,0.496983
482,32.227,0.503506
483,32.294,0.51049
484,32.361,0.51315
485,32.428,0.514987
486,32.495,0.515902
487,32.562,0.517567
488,32.629,0.454565
489,32.696,0.473291
490,32.763,0.52027
491,32.83,0.520439
492,32.897,0.518874
493,32.964,0.519284
494,33.031,0.520238
495,33.098,0.519865
496,33.165,0.41116
497,33.232,0.519781
498,33.299,0.519857
499,33.366,0.519596
500,33.433,0.521317
501,33.5,0.521345
502,33.567,0.521642
503,33.634,0.528346
504,33.701,0.528458
505,33.768,0.528117
506,33.835,0.528683
507,33.902,0.526946
508,33.969,0.477728
509,34.036,0.525658
510,34.103,0.524531
511,34.17,0.523696
512,34.237,0.523933
513,34.304,0.523143
514,34.371,0.523002
515,34.438,0.4598
516,34.505,0.523419
517,34.572,0.52362
518,34.639,0.523933
519,34.706,0.524519
520,34.773,0.523648
521,34.84,0.4915
522,34.907,0.490589
523,34.974,0.523123
524,35.041,0.520816
525,35.108,0.520848
526,35.175,0.517659
527,35.242,0.517787
528,35.309,0.424138
