,,Time,Density
1,0.17502,0,0.17502
4,0.174567,0.2,0.174567
7,0.179928,0.4,0.179928
10,0.191751,0.6,0.191751
13,0.205103,0.8,0.205103
16,0.209184,1,0.209184
19,0.204201,1.2,0.204201
22,0.199722,1.4,0.199722
25,0.1949,1.6,0.1949
28,0.201657,1.8,0.201657
31,0.208099,2,0.208099
34,0.212384,2.2,0.212384
37,0.210636,2.4,0.210636
40,0.209048,2.6,0.209048
43,0.207623,2.8,0.207623
46,0.206609,3,0.206609
49,0.203546,3.2,0.203546
52,0.204416,3.4,0.204416
55,0.20909,3.6,0.20909
58,0.214799,3.8,0.214799
61,0.220601,4,0.220601
64,0.218342,4.2,0.218342
67,0.21261,4.4,0.21261
70,0.206496,4.6,0.206496
73,0.205536,4.8,0.205536
76,0.205294,5,0.205294
79,0.205497,5.2,0.205497
82,0.210956,5.4,0.210956
85,0.223562,5.6,0.223562
88,0.242591,5.8,0.242591
91,0.261137,6,0.261137
94,0.274266,6.2,0.274266
97,0.285117,6.4,0.285117
100,0.288637,6.6,0.288637
103,0.282991,6.8,0.282991
106,0.266439,7,0.266439
109,0.256451,7.2,0.256451
112,0.253653,7.4,0.253653
115,0.261968,7.6,0.261968
118,0.269658,7.8,0.269658
121,0.27434,8,0.27434
124,0.279815,8.2,0.279815
127,0.281809,8.4,0.281809
130,0.278672,8.6,0.278672
133,0.275449,8.8,0.275449
136,0.272546,9,0.272546
139,0.269822,9.2,0.269822
142,0.265202,9.4,0.265202
145,0.26139,9.6,0.26139
148,0.25798,9.8,0.25798
151,0.253107,10,0.253107
154,0.246833,10.2,0.246833
157,0.242931,10.4,0.242931
160,0.241749,10.6,0.241749
163,0.239868,10.8,0.239868
166,0.237702,11,0.237702
169,0.236942,11.2,0.236942
172,0.235221,11.4,0.235221
175,0.235958,11.6,0.235958
178,0.23526,11.8,0.23526
181,0.234983,12,0.234983
184,0.237242,12.2,0.237242
187,0.237262,12.4,0.237262
190,0.236891,12.6,0.236891
193,0.236411,12.8,0.236411
196,0.235225,13,0.235225
199,0.23599,13.2,0.23599
202,0.236165,13.4,0.236165
205,0.236087,13.6,0.236087
208,0.236009,13.8,0.236009
211,0.235642,14,0.235642
214,0.235283,14.2,0.235283
217,0.235338,14.4,0.235338
220,0.235993,14.6,0.235993
223,0.236427,14.8,0.236427
226,0.235806,15,0.235806
229,0.235572,15.2,0.235572
232,0.235716,15.4,0.235716
235,0.236789,15.6,0.236789
238,0.235443,15.8,0.235443
241,0.234335,16,0.234335
244,0.232946,16.2,0.232946
247,0.231737,16.4,0.231737
250,0.232728,16.6,0.232728
253,0.232568,16.8,0.232568
