time,Qdensity
0,0.17882
1.53333,0.192945
3.06667,0.206621
4.6,0.201396
6.13333,0.27061
7.66667,0.261492
9.2,0.261363
10.7333,0.238003
12.2667,0.239158
13.8,0.238869
15.3333,0.237449
16.8667,0.235459
18.4,0.239638
19.9333,0.243516
21.4667,0.235993
23,0.250087
24.5333,0.245202
26.0667,0.262452
27.6,0.310389
29.1333,0.392441
30.6667,0.435848
32.2,0.445837
33.7333,0.447893
35.2667,0.51671
36.8,0.520674
38.3333,0.515824
39.8667,0.56082
41.4,0.597664
42.9333,0.618289
44.4667,0.614493
46,0.604633
47.5333,0.6279
49.0667,0.664733
50.6,0.693743
52.1333,0.70507
53.6667,0.689162
55.2,0.718398
56.7333,0.720209
58.2667,0.717762
59.8,0.721715
61.3333,0.719924
62.8667,0.718055
64.4,0.717189
65.9333,0.715386
67.4667,0.713521
69,0.714044
70.5333,0.715718
72.0667,0.715156
73.6,0.713029
75.1333,0.711043
76.6667,0.708632
78.2,0.709315
79.7333,0.714442
81.2667,0.712834
82.8,0.70855
84.3333,0.712319
85.8667,0.707898
87.4,0.705116
88.9333,0.70409
90.4667,0.705226
92,0.705038
93.5333,0.705577
95.0667,0.71434
96.6,0.713716
98.1333,0.719846
99.6667,0.744174
101.2,0.741411
102.733,0.757565
104.267,0.756297
105.8,0.787136
107.333,0.748657
108.867,0.721087
110.4,0.685194
111.933,0.71521
113.467,0.724306
115,0.739815
116.533,0.541373
118.067,0.474125
119.6,0.39303
121.133,0.401243
122.667,0.348498
124.2,0.30664
125.733,0.332887
127.267,0.548271
128.8,0.386713
130.333,0.275554
131.867,0.164458
133.4,0.165831
134.933,0.459497
136.467,0.350363
138,0.216882
139.533,0.143915
141.067,0.365659
142.6,0.737997
144.133,0.44565
145.667,0.237238
147.2,0.150423
148.733,0.138955
150.267,0.143107
151.8,0.212454
153.333,0.212419
154.867,0.196796
156.4,0.147165
157.933,0.143454
159.467,0.231151
161,0.191805
162.533,0.164848
164.067,0.167232
165.6,0.141195
167.133,0.149319
168.667,0.198653
170.2,0.18829
171.733,0.125361
173.267,0.124764
174.8,0.123898
176.333,0.23485
177.867,0.28509
179.4,0.248311
180.933,0.179011
182.467,0.200105
184,0.194993
185.533,0.200085
187.067,0.186144
188.6,0.184216
190.133,0.195473
191.667,0.183221
193.2,0.195153
194.733,0.195918
196.267,0.218447
197.8,0.419667
199.333,0.674265
200.867,0.776918
202.4,0.812834
203.933,0.805061
205.467,0.794253
207,0.794948
208.533,0.789279
210.067,0.785096
211.6,0.780652
213.133,0.771724
214.667,0.763792
216.2,0.760105
217.733,0.75948
219.267,0.769976
220.8,0.76886
222.333,0.768747
223.867,0.770308
225.4,0.77053
226.933,0.769329
228.467,0.770971
230,0.784608
231.533,0.78515
233.067,0.784518
234.6,0.78478
236.133,0.785369
237.667,0.784436
239.2,0.785115
240.733,0.785416
242.267,0.788912
243.8,0.787199
245.333,0.783828
246.867,0.785088
248.4,0.783215
249.933,0.782657
251.467,0.778182
253,0.775587
254.533,0.784421
256.067,0.782841
257.6,0.780008
259.133,0.782123
260.667,0.782802
262.2,0.782271
263.733,0.785603
265.267,0.784819
266.8,0.785915
268.333,0.784585
269.867,0.787261
271.4,0.790426
272.933,0.786165
274.467,0.784312
276,0.784226
277.533,0.787218
279.067,0.779571
280.6,0.793582
282.133,0.817567
283.667,0.787051
285.2,0.797515
286.733,0.780769
288.267,0.745083
289.8,0.675591
291.333,0.686138
292.867,0.683399
294.4,0.600965
295.933,0.576797
297.467,0.54808
299,0.568155
300.533,0.689178
302.067,0.771326
303.6,0.752676
305.133,0.627205
306.667,0.607212
308.2,0.617852
309.733,0.618094
311.267,0.64273
312.8,0.488773
314.333,0.570937
315.867,0.630046
317.4,0.275788
318.933,0.203948
320.467,0.137594
322,0.134776
323.533,0.134355
325.067,0.131234
326.6,0.134078
328.133,0.167954
329.667,0.258979
331.2,0.203409
332.733,0.181212
334.267,0.172597
335.8,0.14059
337.333,0.293814
338.867,0.45709
340.4,0.192828
341.933,0.128136
343.467,0.11796
345,0.118814
346.533,0.118814
348.067,0.119821
349.6,0.119825
351.133,0.172292
352.667,0.21124
354.2,0.395562
355.733,0.315965
357.267,0.361636
358.8,0.287462
360.333,0.316125
361.867,0.34352
363.4,0.401071
364.933,0.415083
366.467,0.50006
368,0.645333
369.533,0.685108
371.067,0.661381
372.6,0.68194
374.133,0.694855
375.667,0.689954
377.2,0.697898
378.733,0.696692
380.267,0.693048
381.8,0.691433
