Frame,Time,Density
1,0,0.180182
2,0.067,0.17882
3,0.134,0.179842
4,0.201,0.180666
5,0.268,0.182859
6,0.335,0.183237
7,0.402,0.184653
8,0.469,0.189722
9,0.536,0.19147
10,0.603,0.195188
11,0.67,0.199387
12,0.737,0.201872
13,0.804,0.205165
14,0.871,0.20577
15,0.938,0.205473
16,1.005,0.205353
17,1.072,0.203944
18,1.139,0.203105
19,1.206,0.198357
20,1.273,0.194267
21,1.34,0.194942
22,1.407,0.194127
23,1.474,0.194658
24,1.541,0.195504
25,1.608,0.192945
26,1.675,0.194338
27,1.742,0.194841
28,1.809,0.198009
29,1.876,0.202434
30,1.943,0.204404
31,2.01,0.207104
32,2.077,0.208884
33,2.144,0.209157
34,2.211,0.210573
35,2.278,0.210944
36,2.345,0.211697
37,2.412,0.211389
38,2.479,0.210421
39,2.546,0.210222
40,2.613,0.209243
41,2.68,0.209231
42,2.747,0.209629
43,2.814,0.208852
44,2.881,0.209527
45,2.948,0.209184
46,3.015,0.209247
47,3.082,0.20744
48,3.149,0.206621
49,3.216,0.206195
50,3.283,0.205602
51,3.35,0.205766
52,3.417,0.206667
53,3.484,0.207584
54,3.551,0.208864
55,3.618,0.209832
56,3.685,0.210331
57,3.752,0.210581
58,3.819,0.212313
59,3.886,0.212477
60,3.953,0.21293
61,4.02,0.215115
62,4.087,0.215618
63,4.154,0.214428
64,4.221,0.211775
65,4.288,0.210811
66,4.355,0.209941
67,4.422,0.208525
68,4.489,0.206367
69,4.556,0.205727
70,4.623,0.202091
71,4.69,0.201396
72,4.757,0.201377
73,4.824,0.200986
74,4.891,0.201103
75,4.958,0.199863
76,5.025,0.199168
77,5.092,0.198243
78,5.159,0.198579
79,5.226,0.199586
80,5.293,0.201482
81,5.36,0.202539
82,5.427,0.204798
83,5.494,0.208131
84,5.561,0.211755
85,5.628,0.219251
86,5.695,0.227749
87,5.762,0.231342
88,5.829,0.237929
89,5.896,0.244082
90,5.963,0.247231
91,6.03,0.256997
92,6.097,0.262787
93,6.164,0.266186
94,6.231,0.27061
95,6.298,0.276182
96,6.365,0.2796
97,6.432,0.281992
98,6.499,0.282944
99,6.566,0.284731
100,6.633,0.281918
101,6.7,0.28113
102,6.767,0.281235
103,6.834,0.277267
104,6.901,0.272374
105,6.968,0.271465
106,7.035,0.265327
107,7.102,0.262569
108,7.169,0.260793
109,7.236,0.255467
110,7.303,0.25315
111,7.37,0.254032
112,7.437,0.251082
113,7.504,0.252689
114,7.571,0.253372
115,7.638,0.256895
116,7.705,0.260122
117,7.772,0.261492
118,7.839,0.265152
119,7.906,0.267551
120,7.973,0.264695
121,8.04,0.26809
122,8.107,0.271266
123,8.174,0.272144
124,8.241,0.274539
125,8.308,0.277306
126,8.375,0.278773
127,8.442,0.276682
128,8.509,0.275207
129,8.576,0.274255
130,8.643,0.274657
131,8.71,0.276767
132,8.777,0.276834
133,8.844,0.275815
134,8.911,0.273498
135,8.978,0.27342
136,9.045,0.271391
137,9.112,0.269034
138,9.179,0.267021
139,9.246,0.26514
140,9.313,0.261363
141,9.38,0.260938
142,9.447,0.258608
143,9.514,0.25871
144,9.581,0.25869
145,9.648,0.257153
146,9.715,0.257547
147,9.782,0.25766
148,9.849,0.256579
149,9.916,0.256447
150,9.983,0.256033
151,10.05,0.252447
152,10.117,0.249662
153,10.184,0.248745
154,10.251,0.246415
155,10.318,0.244367
156,10.385,0.243462
157,10.452,0.241608
158,10.519,0.240227
159,10.586,0.239696
160,10.653,0.238943
161,10.72,0.239189
162,10.787,0.238998
163,10.854,0.238003
164,10.921,0.237168
165,10.988,0.23748
166,11.055,0.237008
167,11.122,0.237086
168,11.189,0.237035
169,11.256,0.237156
170,11.323,0.237964
171,11.39,0.238284
172,11.457,0.238432
173,11.524,0.239333
174,11.591,0.24011
175,11.658,0.240438
176,11.725,0.240367
177,11.792,0.240012
178,11.859,0.238959
179,11.926,0.237983
180,11.993,0.238194
181,12.06,0.238046
182,12.127,0.238249
183,12.194,0.238389
184,12.261,0.238893
185,12.328,0.238694
186,12.395,0.239158
187,12.462,0.239166
188,12.529,0.239685
189,12.596,0.239536
190,12.663,0.239833
191,12.73,0.240336
192,12.797,0.240562
193,12.864,0.240246
194,12.931,0.240324
195,12.998,0.239056
196,13.065,0.239173
197,13.132,0.239575
198,13.199,0.239439
199,13.266,0.239458
200,13.333,0.239372
201,13.4,0.239798
202,13.467,0.239372
203,13.534,0.239099
