Frame,Time,Density
1,0,0.151663
2,0.067,0.157022
3,0.134,0.154342
4,0.201,0.151563
5,0.268,0.152953
6,0.335,0.150571
7,0.402,0.146303
8,0.469,0.147494
9,0.536,0.150471
10,0.603,0.155434
11,0.67,0.156526
12,0.737,0.159801
13,0.804,0.163077
14,0.871,0.167345
15,0.938,0.168238
16,1.005,0.166154
17,1.072,0.16665
18,1.139,0.162779
19,1.206,0.159404
20,1.273,0.155236
21,1.34,0.154541
22,1.407,0.154342
23,1.474,0.154938
24,1.541,0.159801
25,1.608,0.163375
26,1.675,0.161985
27,1.742,0.165955
28,1.809,0.168933
29,1.876,0.17072
30,1.943,0.170521
31,2.01,0.173598
32,2.077,0.175385
33,2.144,0.175186
34,2.211,0.176079
35,2.278,0.176675
36,2.345,0.17469
37,2.412,0.174591
38,2.479,0.174591
39,2.546,0.175285
40,2.613,0.175484
41,2.68,0.17469
42,2.747,0.174094
43,2.814,0.17201
44,2.881,0.172903
45,2.948,0.171613
46,3.015,0.173201
47,3.082,0.171117
48,3.149,0.173002
49,3.216,0.174491
50,3.283,0.174789
51,3.35,0.176774
52,3.417,0.173896
53,3.484,0.175583
54,3.551,0.17469
55,3.618,0.173201
56,3.685,0.179454
57,3.752,0.17866
58,3.819,0.176973
59,3.886,0.18005
60,3.953,0.179851
61,4.02,0.180149
62,4.087,0.180248
63,4.154,0.181935
64,4.221,0.180744
65,4.288,0.182134
66,4.355,0.17995
67,4.422,0.181538
68,4.489,0.181439
69,4.556,0.181737
70,4.623,0.182829
71,4.69,0.182233
72,4.757,0.177965
73,4.824,0.176873
74,4.891,0.176973
75,4.958,0.17598
76,5.025,0.176278
77,5.092,0.177965
78,5.159,0.175087
79,5.226,0.178263
80,5.293,0.183226
81,5.36,0.190273
82,5.427,0.194342
83,5.494,0.201489
84,5.561,0.207543
85,5.628,0.222134
86,5.695,0.225608
87,5.762,0.227494
88,5.829,0.236625
89,5.896,0.234442
90,5.963,0.237916
91,6.03,0.243474
92,6.097,0.240993
93,6.164,0.243275
94,6.231,0.242283
95,6.298,0.242184
96,6.365,0.23335
97,6.432,0.224715
98,6.499,0.224318
99,6.566,0.216973
100,6.633,0.212109
101,6.7,0.208734
102,6.767,0.199007
103,6.834,0.197419
104,6.901,0.195633
105,6.968,0.19603
106,7.035,0.193747
107,7.102,0.191762
108,7.169,0.198313
109,7.236,0.198015
110,7.303,0.197816
111,7.37,0.200496
112,7.437,0.201092
113,7.504,0.20268
114,7.571,0.202878
115,7.638,0.204169
116,7.705,0.208337
117,7.772,0.210819
118,7.839,0.208536
119,7.906,0.20804
120,7.973,0.208933
121,8.04,0.206551
122,8.107,0.20804
123,8.174,0.208734
124,8.241,0.208437
125,8.308,0.205955
126,8.375,0.204268
127,8.442,0.202084
128,8.509,0.199107
129,8.576,0.192556
130,8.643,0.190174
131,8.71,0.189082
132,8.777,0.187295
133,8.844,0.187692
134,8.911,0.187891
135,8.978,0.184913
136,9.045,0.18402
137,9.112,0.184516
138,9.179,0.18273
139,9.246,0.181638
140,9.313,0.177568
141,9.38,0.174491
142,9.447,0.167543
143,9.514,0.164268
144,9.581,0.162184
145,9.648,0.161489
146,9.715,0.159603
147,9.782,0.15861
148,9.849,0.158313
149,9.916,0.157816
150,9.983,0.156526
151,10.05,0.156923
152,10.117,0.155037
153,10.184,0.156923
154,10.251,0.155236
155,10.318,0.158313
