frame,time,Qdensity
1,0,0.167984
2,0.067,0.17843
3,0.134,0.17924
4,0.201,0.181587
5,0.268,0.175774
6,0.335,0.183541
7,0.402,0.173496
8,0.469,0.191171
9,0.536,0.194288
10,0.603,0.198704
11,0.67,0.197898
12,0.737,0.204665
13,0.804,0.204866
14,0.871,0.194015
15,0.938,0.20479
16,1.005,0.203061
17,1.072,0.20209
18,1.139,0.189028
19,1.206,0.192972
20,1.273,0.193517
21,1.34,0.192888
22,1.407,0.193678
23,1.474,0.194512
24,1.541,0.191728
25,1.608,0.193204
26,1.675,0.193164
27,1.742,0.20134
28,1.809,0.203362
29,1.876,0.205881
30,1.943,0.20781
31,2.01,0.20836
32,2.077,0.209592
33,2.144,0.208898
34,2.211,0.210755
35,2.278,0.191038
36,2.345,0.209367
37,2.412,0.20779
38,2.479,0.208151
39,2.546,0.204706
40,2.613,0.196698
41,2.68,0.20761
42,2.747,0.207201
43,2.814,0.207145
44,2.881,0.194332
45,2.948,0.191576
46,3.015,0.202295
47,3.082,0.203558
48,3.149,0.204685
49,3.216,0.203775
50,3.283,0.207534
51,3.35,0.208617
52,3.417,0.209283
53,3.484,0.209423
54,3.551,0.210903
55,3.618,0.204336
56,3.685,0.210927
57,3.752,0.212741
58,3.819,0.212845
59,3.886,0.199972
60,3.953,0.207534
61,4.02,0.203065
62,4.087,0.205323
63,4.154,0.190015
64,4.221,0.202134
65,4.288,0.198223
66,4.355,0.197581
67,4.422,0.197449
68,4.489,0.196839
69,4.556,0.19022
70,4.623,0.198139
71,4.69,0.197437
72,4.757,0.197794
73,4.824,0.198937
74,4.891,0.200959
75,4.958,0.198054
76,5.025,0.196751
77,5.092,0.20753
78,5.159,0.211204
79,5.226,0.219139
80,5.293,0.227944
81,5.36,0.232012
82,5.427,0.238956
83,5.494,0.245696
84,5.561,0.253679
85,5.628,0.255668
86,5.695,0.257257
87,5.762,0.250269
88,5.829,0.278739
89,5.896,0.281767
90,5.963,0.284263
91,6.03,0.275694
92,6.097,0.286557
93,6.164,0.274017
94,6.231,0.273957
95,6.298,0.277688
96,6.365,0.272248
97,6.432,0.271165
98,6.499,0.264598
99,6.566,0.253799
100,6.633,0.259592
101,6.7,0.246546
102,6.767,0.234295
103,6.834,0.252579
104,6.901,0.249342
105,6.968,0.241275
106,7.035,0.255516
107,7.102,0.259066
108,7.169,0.260446
109,7.236,0.264233
110,7.303,0.266997
111,7.37,0.263371
112,7.437,0.26027
113,7.504,0.269657
114,7.571,0.270547
