time,Qdensity
0,0.17882
1.13333,0.198357
2.26667,0.211697
3.4,0.207584
4.53333,0.202091
5.66667,0.231342
6.8,0.272374
7.93333,0.26809
9.06667,0.267021
10.2,0.244367
11.3333,0.238432
12.4667,0.239536
13.6,0.238865
14.7333,0.238058
15.8667,0.236095
17,0.235603
18.1333,0.233063
19.2667,0.253068
20.4,0.243485
21.5333,0.23606
22.6667,0.239614
23.8,0.251546
24.9333,0.24487
26.0667,0.262452
27.2,0.285984
28.3333,0.354101
29.4667,0.401306
30.6,0.434924
31.7333,0.447604
32.8667,0.444385
34,0.449021
35.1333,0.515558
36.2667,0.52536
37.4,0.521517
38.5333,0.516971
39.6667,0.551034
40.8,0.58983
41.9333,0.598944
43.0667,0.618605
44.2,0.616139
45.3333,0.611574
46.4667,0.605925
47.6,0.632246
48.7333,0.659372
49.8667,0.688744
51,0.695448
52.1333,0.70507
53.2667,0.694016
54.4,0.702494
55.5333,0.720142
56.6667,0.720412
57.8,0.718418
58.9333,0.720076
60.0667,0.722195
61.2,0.719916
62.3333,0.719639
63.4667,0.717735
64.6,0.717029
65.7333,0.715765
66.8667,0.715409
68,0.713088
69.1333,0.714188
70.2667,0.715214
71.4,0.714251
72.5333,0.712276
73.6667,0.712963
74.8,0.714422
75.9333,0.707633
77.0667,0.708425
78.2,0.709315
79.3333,0.713384
80.4667,0.714629
81.6,0.711999
82.7333,0.70848
83.8667,0.712187
85,0.710661
86.1333,0.707727
87.2667,0.70505
88.4,0.706018
89.5333,0.706193
90.6667,0.705971
91.8,0.703068
92.9333,0.703868
94.0667,0.709287
95.2,0.713915
96.3333,0.712405
97.4667,0.714812
98.6,0.731793
99.7333,0.745754
100.867,0.742422
102,0.745016
103.133,0.761861
104.267,0.756297
105.4,0.767873
106.533,0.762571
107.667,0.738344
108.8,0.726327
109.933,0.69647
111.067,0.71285
112.2,0.718496
113.333,0.726018
114.467,0.727731
115.6,0.68167
116.733,0.50907
117.867,0.460652
119,0.458584
120.133,0.400471
121.267,0.393732
122.4,0.349962
123.533,0.311966
124.667,0.270158
125.8,0.337105
126.933,0.495316
128.067,0.556609
129.2,0.348764
130.333,0.275554
131.467,0.204151
132.6,0.143013
133.733,0.225349
134.867,0.438193
136,0.445556
137.133,0.288204
138.267,0.21092
139.4,0.143501
140.533,0.230515
141.667,0.571042
142.8,0.729983
143.933,0.426804
145.067,0.346313
146.2,0.196078
147.333,0.148597
148.467,0.138265
149.6,0.143435
150.733,0.144668
151.867,0.215638
153,0.201946
154.133,0.228603
155.267,0.180798
156.4,0.147165
157.533,0.145764
158.667,0.134773
159.8,0.275035
160.933,0.19131
162.067,0.143119
163.2,0.162678
164.333,0.159826
165.467,0.144625
166.6,0.139958
167.733,0.18932
168.867,0.199937
170,0.184056
171.133,0.139751
172.267,0.125018
173.4,0.124764
174.533,0.123559
175.667,0.161886
176.8,0.28788
177.933,0.288075
179.067,0.23565
180.2,0.212793
181.333,0.174536
182.467,0.200105
183.6,0.192551
184.733,0.203269
185.867,0.198212
187,0.186417
188.133,0.185668
189.267,0.181992
190.4,0.192223
191.533,0.185278
192.667,0.195707
193.8,0.195063
194.933,0.196811
196.067,0.208829
197.2,0.301735
198.333,0.514833
199.467,0.688503
200.6,0.777448
201.733,0.795939
202.867,0.808811
204,0.804621
205.133,0.79437
206.267,0.800836
207.4,0.790266
208.533,0.789279
209.667,0.785548
210.8,0.784159
211.933,0.777928
213.067,0.772536
214.2,0.767729
215.333,0.760312
216.467,0.759239
217.6,0.759535
218.733,0.762227
219.867,0.768778
221,0.768868
222.133,0.768338
223.267,0.76929
224.4,0.768958
225.533,0.770846
226.667,0.769149
227.8,0.77064
228.933,0.784647
230.067,0.784998
231.2,0.7859
232.333,0.785268
233.467,0.784725
234.6,0.78478
235.733,0.785287
236.867,0.785115
238,0.784062
239.133,0.785057
240.267,0.784105
241.4,0.787772
242.533,0.789735
243.667,0.787999
244.8,0.784273
245.933,0.785193
247.067,0.784955
248.2,0.783679
249.333,0.782965
