density,time
0.180213,0
0.178676,0.0667
0.179761,0.1334
0.180654,0.2001
0.182937,0.2668
0.183541,0.3335
0.184813,0.4002
0.189866,0.4669
0.192176,0.5336
0.195192,0.6003
0.199406,0.667
0.20197,0.7337
0.2052,0.8004
0.206016,0.8671
0.205364,0.9338
0.205368,1.0005
0.20369,1.0672
0.202734,1.1339
0.198333,1.2006
0.193881,1.2673
0.194385,1.334
0.193795,1.4007
0.194556,1.4674
0.195364,1.5341
0.192687,1.6008
0.194131,1.6675
0.197639,1.7342
0.202094,1.8009
0.204014,1.8676
0.206582,1.9343
0.208466,2.001
0.208981,2.0677
0.210249,2.1344
0.210624,2.2011
0.211322,2.2678
0.211299,2.3345
0.210078,2.4012
0.208782,2.4679
0.209137,2.5346
0.209364,2.6013
0.208435,2.668
0.209001,2.7347
0.208689,2.8014
0.208899,2.8681
0.207054,2.9348
0.206429,3.0015
0.205899,3.0682
0.205454,3.1349
0.206554,3.2016
0.207623,3.2683
0.208895,3.335
0.209754,3.4017
0.210308,3.4684
0.210362,3.5351
0.212017,3.6018
0.212348,3.6685
0.212754,3.7352
0.215006,3.8019
0.215283,3.8686
0.21183,3.9353
0.210874,4.002
0.210121,4.0687
0.208868,4.1354
0.206242,4.2021
0.205801,4.2688
0.201962,4.3355
0.201505,4.4022
0.201338,4.4689
0.200694,4.5356
0.201189,4.6023
0.199231,4.669
0.19824,4.7357
0.198532,4.8024
0.199262,4.8691
0.201314,4.9358
0.202387,5.0025
0.204603,5.0692
0.207826,5.1359
0.211428,5.2026
0.218958,5.2693
0.227238,5.336
0.231093,5.4027
0.237691,5.4694
0.244,5.5361
0.256856,5.6028
0.262655,5.6695
0.266084,5.7362
0.270423,5.8029
0.276393,5.8696
0.27953,5.9363
0.282047,6.003
0.282921,6.0697
0.284836,6.1364
0.282082,6.2031
0.28127,6.2698
0.2777,6.3365
0.272667,6.4032
0.271898,6.4699
0.265776,6.5366
0.262826,6.6033
0.260907,6.67
0.255491,6.7367
0.2537,6.8034
0.254355,6.8701
0.251214,6.9368
0.253033,7.0035
0.257262,7.0702
0.260473,7.1369
0.261718,7.2036
0.265495,7.2703
0.268074,7.337
0.264535,7.4037
0.268023,7.4704
0.271617,7.5371
0.272397,7.6038
0.274575,7.6705
0.277361,7.7372
0.276623,7.8039
0.275261,7.8706
0.274301,7.9373
0.274434,8.004
0.277165,8.0707
0.277048,8.1374
0.276198,8.2041
0.273911,8.2708
0.273763,8.3375
0.271722,8.4042
0.269331,8.4709
0.265261,8.5376
0.261784,8.6043
0.261176,8.671
0.258901,8.7377
0.258952,8.8044
0.258827,8.8711
0.256786,8.9378
0.257332,9.0045
0.257169,9.0712
0.256443,9.1379
0.256201,9.2046
0.252198,9.2713
0.249583,9.338
0.248612,9.4047
0.246333,9.4714
0.244355,9.5381
0.243481,9.6048
0.241596,9.6715
0.240075,9.7382
0.23954,9.8049
0.238682,9.8716
0.239095,9.9383
0.23805,10.005
0.237016,10.0717
0.237187,10.1384
0.236825,10.2051
0.23691,10.2718
0.236867,10.3385
0.236914,10.4052
0.23789,10.4719
0.238307,10.5386
0.238569,10.6053
0.239283,10.672
0.239911,10.7387
0.240469,10.8054
0.240297,10.8721
0.239084,10.9388
0.238155,11.0055
0.238245,11.0722
0.238112,11.1389
0.238202,11.2056
0.23821,11.2723
0.238709,11.339
0.238518,11.4057
0.238834,11.4724
0.239127,11.5391
0.239614,11.6058
0.239813,11.6725
0.240379,11.7392
0.240594,11.8059
0.240184,11.8726
0.240176,11.9393
0.238811,12.006
0.23901,12.0727
0.23938,12.1394
0.239388,12.2061
0.239681,12.2728
0.239486,12.3395
0.239283,12.4062
0.239275,12.4729
0.239275,12.5396
0.239216,12.6063
0.238947,12.673
0.238889,12.7397
0.239099,12.8064
0.238787,12.8731
0.238631,12.9398
0.238643,13.0065
0.238873,13.0732
0.238034,13.1399
0.238015,13.2066
0.237843,13.2733
0.237722,13.34
0.237663,13.4067
0.237691,13.4734
0.238518,13.5401
0.238459,13.6068
0.238413,13.6735
0.238054,13.7402
0.237816,13.8069
0.23778,13.8736
0.237929,13.9403
0.237831,14.007
0.237714,14.0737
0.237425,14.1404
0.237406,14.2071
0.237472,14.2738
0.237792,14.3405
0.237804,14.4072
0.237671,14.4739
0.237226,14.5406
0.23599,14.6073
0.236009,14.674
0.235943,14.7407
0.235217,14.8074
0.233352,14.8741
0.233063,14.9408
0.233063,15.0075
0.233301,15.0742
0.234222,15.1409
0.234366,15.2076
0.23517,15.2743
0.23581,15.341
0.236173,15.4077
0.235947,15.4744
0.23519,15.5411
0.235264,15.6078
0.235186,15.6745
0.23567,15.7412
0.235299,15.8079
0.235498,15.8746
0.235908,15.9413
0.235693,16.008
0.236056,16.0747
0.235689,16.1414
0.235978,16.2081
0.235568,16.2748
0.235416,16.3415
0.235615,16.4082
0.235576,16.4749
0.235545,16.5416
0.234085,16.6083
0.233606,16.675
0.233504,16.7417
0.233664,16.8084
0.233137,16.8751
0.233063,16.9418
0.236782,17.0085
0.239712,17.0752
0.240921,17.1419
0.243118,17.2086
0.246037,17.2753
0.247,17.342
0.24924,17.4087
0.252026,17.4754
0.252447,17.5421
0.254375,17.6088
0.255487,17.6755
0.254168,17.7422
0.253462,17.8089
0.253048,17.8756
0.252416,17.9423
0.251413,18.009
0.250922,18.0757
0.249646,18.1424
0.249158,18.2091
0.247633,18.2758
0.246474,18.3425
0.245373,18.4092
0.243446,18.4759
0.24249,18.5426
0.241858,18.6093
0.242264,18.676
0.242459,18.7427
0.242139,18.8094
0.242619,18.8761
0.243395,18.9428
0.243454,19.0095
0.243762,19.0762
0.243227,19.1429
0.242006,19.2096
0.241288,19.2763
0.240715,19.343
0.240223,19.4097
0.239259,19.4764
0.238768,19.5431
0.237574,19.6098
0.237098,19.6765
0.237297,19.7432
0.236134,19.8099
0.236228,19.8766
0.236048,19.9433
0.235837,20.01
0.236216,20.0767
0.236235,20.1434
0.236251,20.2101
