Frame,Time,Density
1,0,0.128852
2,0.067,0.140056
3,0.134,0.143791
4,0.201,0.131653
5,0.268,0.126984
6,0.335,0.12605
7,0.402,0.120448
8,0.469,0.118581
9,0.536,0.112979
10,0.603,0.112045
11,0.67,0.10831
12,0.737,0.109244
13,0.804,0.107376
14,0.871,0.109244
15,0.938,0.118581
16,1.005,0.116713
17,1.072,0.123249
18,1.139,0.122316
19,1.206,0.120448
20,1.273,0.121382
21,1.34,0.131653
22,1.407,0.12605
23,1.474,0.123249
24,1.541,0.127918
25,1.608,0.121382
26,1.675,0.118581
27,1.742,0.118581
28,1.809,0.126984
29,1.876,0.120448
30,1.943,0.118581
31,2.01,0.13352
32,2.077,0.121382
33,2.144,0.118581
34,2.211,0.127918
35,2.278,0.113912
36,2.345,0.112979
37,2.412,0.114846
38,2.479,0.117647
39,2.546,0.12605
40,2.613,0.122316
41,2.68,0.124183
42,2.747,0.126984
43,2.814,0.126984
44,2.881,0.122316
45,2.948,0.120448
46,3.015,0.120448
47,3.082,0.126984
48,3.149,0.14099
49,3.216,0.14099
50,3.283,0.143791
51,3.35,0.147526
52,3.417,0.135387
53,3.484,0.139122
54,3.551,0.136321
55,3.618,0.138189
56,3.685,0.136321
57,3.752,0.144725
58,3.819,0.137255
59,3.886,0.147526
60,3.953,0.154995
61,4.02,0.144725
62,4.087,0.141923
63,4.154,0.151261
64,4.221,0.132586
65,4.288,0.147526
66,4.355,0.146592
67,4.422,0.139122
68,4.489,0.14099
69,4.556,0.143791
70,4.623,0.141923
71,4.69,0.142857
72,4.757,0.139122
73,4.824,0.142857
74,4.891,0.136321
75,4.958,0.135387
76,5.025,0.127918
77,5.092,0.134454
78,5.159,0.132586
79,5.226,0.132586
80,5.293,0.137255
81,5.36,0.141923
82,5.427,0.134454
83,5.494,0.144725
84,5.561,0.144725
85,5.628,0.140056
86,5.695,0.136321
87,5.762,0.140056
88,5.829,0.135387
89,5.896,0.137255
90,5.963,0.151261
91,6.03,0.154062
92,6.097,0.15873
93,6.164,0.15873
94,6.231,0.169935
95,6.298,0.177404
96,6.365,0.165266
97,6.432,0.156863
98,6.499,0.145658
99,6.566,0.139122
100,6.633,0.141923
101,6.7,0.123249
102,6.767,0.136321
103,6.834,0.120448
104,6.901,0.125117
105,6.968,0.125117
106,7.035,0.121382
107,7.102,0.126984
108,7.169,0.117647
109,7.236,0.116713
110,7.303,0.123249
111,7.37,0.117647
112,7.437,0.122316
113,7.504,0.104575
114,7.571,0.128852
115,7.638,0.117647
116,7.705,0.120448
117,7.772,0.128852
118,7.839,0.124183
119,7.906,0.130719
120,7.973,0.145658
121,8.04,0.135387
122,8.107,0.14099
123,8.174,0.131653
124,8.241,0.142857
125,8.308,0.127918
126,8.375,0.149393
127,8.442,0.148459
128,8.509,0.14099
129,8.576,0.141923
130,8.643,0.14099
131,8.71,0.132586
132,8.777,0.121382
133,8.844,0.123249
134,8.911,0.12605
135,8.978,0.11578
136,9.045,0.125117
137,9.112,0.127918
138,9.179,0.10831
139,9.246,0.113912
140,9.313,0.110177
141,9.38,0.106443
142,9.447,0.107376
143,9.514,0.0980392
144,9.581,0.0989729
145,9.648,0.0980392
146,9.715,0.101774
147,9.782,0.102708
148,9.849,0.103641
149,9.916,0.104575
150,9.983,0.10831
151,10.05,0.112045
152,10.117,0.112045
153,10.184,0.114846
154,10.251,0.112979
155,10.318,0.111111
156,10.385,0.111111
157,10.452,0.112045
158,10.519,0.111111
159,10.586,0.114846
160,10.653,0.110177
161,10.72,0.112045
162,10.787,0.109244
163,10.854,0.111111
164,10.921,0.113912
165,10.988,0.11578
166,11.055,0.116713
167,11.122,0.122316
168,11.189,0.120448
169,11.256,0.11578
170,11.323,0.116713
171,11.39,0.123249
172,11.457,0.119514
173,11.524,0.121382
174,11.591,0.131653
175,11.658,0.130719
176,11.725,0.132586
177,11.792,0.132586
178,11.859,0.136321
179,11.926,0.137255
180,11.993,0.138189
181,12.06,0.136321
182,12.127,0.14099
183,12.194,0.143791
184,12.261,0.141923
185,12.328,0.14099
186,12.395,0.140056
187,12.462,0.142857
188,12.529,0.140056
189,12.596,0.140056
190,12.663,0.140056
191,12.73,0.14099
192,12.797,0.140056
193,12.864,0.139122
194,12.931,0.139122
195,12.998,0.139122
196,13.065,0.139122
197,13.132,0.142857
198,13.199,0.143791
199,13.266,0.143791
200,13.333,0.143791
201,13.4,0.142857
202,13.467,0.143791
203,13.534,0.143791
204,13.601,0.141923
205,13.668,0.14099
206,13.735,0.142857
207,13.802,0.140056
208,13.869,0.138189
209,13.936,0.140056
210,14.003,0.140056
211,14.07,0.141923
212,14.137,0.140056
213,14.204,0.140056
214,14.271,0.140056
215,14.338,0.140056
216,14.405,0.139122
217,14.472,0.140056
218,14.539,0.140056
219,14.606,0.141923
220,14.673,0.145658
221,14.74,0.131653
222,14.807,0.131653
223,14.874,0.128852
224,14.941,0.127918
225,15.008,0.127918
226,15.075,0.126984
227,15.142,0.13352
228,15.209,0.13352
229,15.276,0.134454
230,15.343,0.136321
231,15.41,0.134454
232,15.477,0.134454
233,15.544,0.134454
234,15.611,0.132586
235,15.678,0.131653
236,15.745,0.132586
237,15.812,0.130719
238,15.879,0.129785
239,15.946,0.130719
240,16.013,0.130719
241,16.08,0.129785
242,16.147,0.130719
243,16.214,0.128852
244,16.281,0.129785
245,16.348,0.132586
246,16.415,0.132586
247,16.482,0.132586
248,16.549,0.132586
249,16.616,0.132586
250,16.683,0.127918
251,16.75,0.126984
252,16.817,0.128852
253,16.884,0.129785
254,16.951,0.129785
255,17.018,0.129785
256,17.085,0.129785
257,17.152,0.128852
258,17.219,0.129785
259,17.286,0.130719
260,17.353,0.131653
261,17.42,0.132586
262,17.487,0.13352
263,17.554,0.13352
264,17.621,0.136321
265,17.688,0.132586
266,17.755,0.128852
267,17.822,0.127918
268,17.889,0.129785
269,17.956,0.128852
270,18.023,0.129785
271,18.09,0.129785
272,18.157,0.129785
273,18.224,0.129785
274,18.291,0.126984
275,18.358,0.126984
276,18.425,0.128852
277,18.492,0.127918
278,18.559,0.126984
279,18.626,0.127918
280,18.693,0.127918
281,18.76,0.128852
282,18.827,0.128852
283,18.894,0.127918
284,18.961,0.126984
285,19.028,0.127918
286,19.095,0.12605
287,19.162,0.127918
288,19.229,0.127918
289,19.296,0.132586
290,19.363,0.128852
291,19.43,0.128852
292,19.497,0.134454
293,19.564,0.135387
294,19.631,0.134454
295,19.698,0.13352
296,19.765,0.13352
297,19.832,0.13352
298,19.899,0.134454
299,19.966,0.13352
300,20.033,0.132586
301,20.1,0.132586
302,20.167,0.132586
303,20.234,0.132586
304,20.301,0.132586
305,20.368,0.132586
306,20.435,0.131653
307,20.502,0.130719
308,20.569,0.130719
309,20.636,0.130719
310,20.703,0.130719
311,20.77,0.130719
312,20.837,0.130719
313,20.904,0.131653
314,20.971,0.132586
315,21.038,0.132586
316,21.105,0.132586
317,21.172,0.131653
318,21.239,0.135387
319,21.306,0.132586
320,21.373,0.132586
321,21.44,0.13352
322,21.507,0.132586
323,21.574,0.130719
324,21.641,0.127918
325,21.708,0.127918
326,21.775,0.127918
327,21.842,0.127918
328,21.909,0.135387
329,21.976,0.131653
330,22.043,0.130719
331,22.11,0.134454
332,22.177,0.135387
333,22.244,0.13352
334,22.311,0.132586
335,22.378,0.136321
336,22.445,0.13352
337,22.512,0.147526
338,22.579,0.14099
339,22.646,0.143791
340,22.713,0.151261
341,22.78,0.146592
342,22.847,0.141923
343,22.914,0.144725
344,22.981,0.14099
345,23.048,0.144725
346,23.115,0.134454
347,23.182,0.144725
348,23.249,0.140056
349,23.316,0.144725
350,23.383,0.144725
351,23.45,0.140056
352,23.517,0.146592
353,23.584,0.139122
354,23.651,0.14099
355,23.718,0.138189
356,23.785,0.145658
357,23.852,0.136321
358,23.919,0.140056
359,23.986,0.139122
360,24.053,0.139122
361,24.12,0.139122
362,24.187,0.139122
363,24.254,0.139122
364,24.321,0.139122
365,24.388,0.134454
366,24.455,0.136321
367,24.522,0.136321
368,24.589,0.140056
369,24.656,0.143791
370,24.723,0.141923
371,24.79,0.14099
372,24.857,0.143791
373,24.924,0.144725
374,24.991,0.142857
375,25.058,0.142857
376,25.125,0.142857
377,25.192,0.143791
378,25.259,0.141923
379,25.326,0.142857
380,25.393,0.145658
381,25.46,0.142857
382,25.527,0.145658
383,25.594,0.167134
384,25.661,0.169001
385,25.728,0.183007
386,25.795,0.196078
387,25.862,0.19888
388,25.929,0.199813
389,25.996,0.203548
390,26.063,0.213819
391,26.13,0.214753
392,26.197,0.237162
393,26.264,0.221289
394,26.331,0.229692
395,26.398,0.240896
396,26.465,0.23436
397,26.532,0.264239
398,26.599,0.297852
399,26.666,0.275444
400,26.733,0.309057
401,26.8,0.295051
402,26.867,0.273576
403,26.934,0.293184
404,27.001,0.258637
405,27.068,0.287582
406,27.135,0.310924
407,27.202,0.310924
408,27.269,0.313725
409,27.336,0.348273
410,27.403,0.35014
411,27.47,0.347339
412,27.537,0.360411
413,27.604,0.372549
414,27.671,0.368814
415,27.738,0.35014
416,27.805,0.388422
417,27.872,0.379085
418,27.939,0.388422
419,28.006,0.397759
420,28.073,0.405229
421,28.14,0.413632
422,28.207,0.410831
423,28.274,0.40803
424,28.341,0.423903
425,28.408,0.40803
426,28.475,0.420168
427,28.542,0.413632
428,28.609,0.424837
429,28.676,0.420168
430,28.743,0.414566
431,28.81,0.426704
432,28.877,0.423903
433,28.944,0.426704
434,29.011,0.439776
435,29.078,0.444444
436,29.145,0.406162
437,29.212,0.40056
438,29.279,0.414566
439,29.346,0.420168
440,29.413,0.427638
441,29.48,0.424837
442,29.547,0.437908
443,29.614,0.437908
444,29.681,0.421102
445,29.748,0.405229
446,29.815,0.397759
447,29.882,0.40056
448,29.949,0.409897
449,30.016,0.423903
450,30.083,0.431373
451,30.15,0.434174
452,30.217,0.438842
453,30.284,0.450047
454,30.351,0.446312
455,30.418,0.439776
456,30.485,0.431373
457,30.552,0.428571
458,30.619,0.420168
459,30.686,0.420168
460,30.753,0.408964
461,30.82,0.391223
462,30.887,0.388422
463,30.954,0.368814
464,31.021,0.356676
465,31.088,0.356676
466,31.155,0.343604
467,31.222,0.333333
468,31.289,0.333333
469,31.356,0.320261
470,31.423,0.313725
471,31.49,0.290383
472,31.557,0.295985
473,31.624,0.301587
474,31.691,0.280112
475,31.758,0.297852
476,31.825,0.310924
477,31.892,0.308123
478,31.959,0.280112
479,32.026,0.294118
480,32.093,0.325864
481,32.16,0.344538
482,32.227,0.338002
483,32.294,0.355742
484,32.361,0.366947
485,32.428,0.374416
486,32.495,0.393091
487,32.562,0.385621
488,32.629,0.403361
489,32.696,0.392157
490,32.763,0.40056
491,32.83,0.403361
492,32.897,0.414566
493,32.964,0.411765
494,33.031,0.381886
495,33.098,0.422969
496,33.165,0.366013
497,33.232,0.371615
498,33.299,0.366947
499,33.366,0.379085
500,33.433,0.370682
501,33.5,0.369748
502,33.567,0.35761
503,33.634,0.381886
504,33.701,0.37535
505,33.768,0.369748
506,33.835,0.381886
507,33.902,0.37535
508,33.969,0.370682
509,34.036,0.366947
510,34.103,0.376284
511,34.17,0.374416
512,34.237,0.374416
513,34.304,0.380952
514,34.371,0.376284
515,34.438,0.378151
516,34.505,0.379085
517,34.572,0.380952
518,34.639,0.38282
519,34.706,0.38282
520,34.773,0.38282
521,34.84,0.381886
522,34.907,0.388422
523,34.974,0.390289
524,35.041,0.394024
525,35.108,0.394958
526,35.175,0.388422
527,35.242,0.391223
528,35.309,0.379085
529,35.376,0.381886
530,35.443,0.376284
531,35.51,0.376284
532,35.577,0.363212
533,35.644,0.363212
534,35.711,0.363212
535,35.778,0.355742
536,35.845,0.356676
537,35.912,0.355742
538,35.979,0.354809
539,36.046,0.355742
540,36.113,0.352941
541,36.18,0.352941
542,36.247,0.352007
543,36.314,0.352007
544,36.381,0.351074
545,36.448,0.35761
546,36.515,0.352941
547,36.582,0.356676
548,36.649,0.363212
549,36.716,0.377218
550,36.783,0.356676
551,36.85,0.358543
552,36.917,0.384687
553,36.984,0.369748
554,37.051,0.359477
555,37.118,0.401494
556,37.185,0.394024
557,37.252,0.374416
558,37.319,0.348273
559,37.386,0.362278
560,37.453,0.389356
561,37.52,0.390289
562,37.587,0.386555
563,37.654,0.369748
564,37.721,0.376284
565,37.788,0.407096
566,37.855,0.380952
567,37.922,0.386555
568,37.989,0.388422
569,38.056,0.403361
570,38.123,0.413632
571,38.19,0.397759
572,38.257,0.424837
573,38.324,0.427638
574,38.391,0.431373
575,38.458,0.410831
576,38.525,0.414566
577,38.592,0.428571
578,38.659,0.431373
579,38.726,0.420168
580,38.793,0.395892
581,38.86,0.40803
582,38.927,0.418301
583,38.994,0.422035
584,39.061,0.427638
585,39.128,0.410831
586,39.195,0.40803
587,39.262,0.423903
588,39.329,0.417367
589,39.396,0.396825
590,39.463,0.394024
591,39.53,0.40056
592,39.597,0.407096
593,39.664,0.422969
594,39.731,0.445378
595,39.798,0.45845
596,39.865,0.445378
597,39.932,0.443511
598,39.999,0.495798
599,40.066,0.468721
600,40.133,0.469655
601,40.2,0.46592
602,40.267,0.469655
603,40.334,0.45845
604,40.401,0.468721
605,40.468,0.480859
606,40.535,0.471522
607,40.602,0.45845
608,40.669,0.472456
609,40.736,0.474323
610,40.803,0.447246
611,40.87,0.472456
612,40.937,0.480859
613,41.004,0.478058
614,41.071,0.475257
615,41.138,0.443511
616,41.205,0.447246
617,41.272,0.454715
618,41.339,0.456583
619,41.406,0.464052
620,41.473,0.457516
621,41.54,0.443511
622,41.607,0.438842
623,41.674,0.428571
624,41.741,0.437908
625,41.808,0.447246
626,41.875,0.45845
627,41.942,0.448179
628,42.009,0.449113
629,42.076,0.444444
630,42.143,0.44071
631,42.21,0.430439
632,42.277,0.435107
633,42.344,0.435107
634,42.411,0.436975
635,42.478,0.437908
636,42.545,0.442577
637,42.612,0.442577
638,42.679,0.44071
639,42.746,0.436975
640,42.813,0.431373
641,42.88,0.429505
642,42.947,0.431373
643,43.014,0.427638
644,43.081,0.426704
645,43.148,0.422969
646,43.215,0.424837
647,43.282,0.423903
648,43.349,0.426704
649,43.416,0.437908
650,43.483,0.441643
651,43.55,0.435107
652,43.617,0.438842
653,43.684,0.438842
654,43.751,0.422969
655,43.818,0.426704
656,43.885,0.436975
657,43.952,0.431373
658,44.019,0.430439
659,44.086,0.431373
660,44.153,0.427638
661,44.22,0.422969
662,44.287,0.426704
663,44.354,0.435107
664,44.421,0.459384
665,44.488,0.457516
666,44.555,0.457516
667,44.622,0.464986
668,44.689,0.464986
669,44.756,0.46592
670,44.823,0.464986
671,44.89,0.461251
672,44.957,0.457516
673,45.024,0.456583
674,45.091,0.45845
675,45.158,0.464986
676,45.225,0.464986
677,45.292,0.474323
678,45.359,0.478992
679,45.426,0.482726
680,45.493,0.481793
681,45.56,0.484594
682,45.627,0.490196
683,45.694,0.481793
