frame,time,Qdensity
1,0,0.179855
2,0.067,0.178313
3,0.134,0.179397
4,0.201,0.180281
5,0.268,0.182547
6,0.335,0.183158
7,0.402,0.184434
8,0.469,0.189482
9,0.536,0.191811
10,0.603,0.194836
11,0.67,0.199067
12,0.737,0.201638
13,0.804,0.204875
14,0.871,0.205693
15,0.938,0.205039
16,1.005,0.205043
17,1.072,0.20336
18,1.139,0.202413
19,1.206,0.197999
20,1.273,0.193541
21,1.34,0.194042
22,1.407,0.193447
23,1.474,0.19421
24,1.541,0.195016
25,1.608,0.19232
26,1.675,0.193776
27,1.742,0.197298
28,1.809,0.201764
29,1.876,0.203693
30,1.943,0.206253
31,2.01,0.208143
32,2.077,0.208659
33,2.144,0.209935
34,2.211,0.210307
35,2.278,0.211008
36,2.345,0.210969
37,2.412,0.209744
38,2.479,0.208452
39,2.546,0.208808
40,2.613,0.209031
41,2.68,0.208092
42,2.747,0.208667
43,2.814,0.208389
44,2.881,0.208569
45,2.948,0.206722
46,3.015,0.206127
47,3.082,0.205599
48,3.149,0.205153
49,3.216,0.206264
50,3.283,0.207305
51,3.35,0.208585
52,3.417,0.209481
53,3.484,0.210002
54,3.551,0.21008
55,3.618,0.211818
56,3.685,0.212115
57,3.752,0.212471
58,3.819,0.214679
59,3.886,0.214898
60,3.953,0.211403
61,4.02,0.210487
62,4.087,0.209747
63,4.154,0.208452
64,4.221,0.205818
65,4.288,0.205372
66,4.355,0.201533
67,4.422,0.201098
68,4.489,0.200949
69,4.556,0.200366
70,4.623,0.200949
71,4.69,0.199043
72,4.757,0.198081
73,4.824,0.19837
74,4.891,0.199102
75,4.958,0.201129
76,5.025,0.202221
77,5.092,0.204437
78,5.159,0.207661
79,5.226,0.211286
80,5.293,0.218851
81,5.36,0.227203
82,5.427,0.231069
83,5.494,0.237691
84,5.561,0.244028
85,5.628,0.256916
86,5.695,0.262727
87,5.762,0.266168
88,5.829,0.270508
89,5.896,0.276472
90,5.963,0.279607
91,6.03,0.282167
92,6.097,0.283004
93,6.164,0.284918
94,6.231,0.282116
95,6.298,0.281231
96,6.365,0.277564
97,6.432,0.272465
98,6.499,0.271674
99,6.566,0.26551
100,6.633,0.262489
101,6.7,0.260583
102,6.767,0.255088
103,6.834,0.253291
104,6.901,0.253976
105,6.968,0.250798
106,7.035,0.252607
107,7.102,0.256857
108,7.169,0.260117
109,7.236,0.261393
110,7.303,0.265181
111,7.37,0.26778
112,7.437,0.264265
113,7.504,0.26776
114,7.571,0.271345
115,7.638,0.272144
116,7.705,0.274304
117,7.772,0.277036
118,7.839,0.276277
119,7.906,0.274911
120,7.973,0.273948
121,8.04,0.274069
122,8.107,0.276809
123,8.174,0.276692
124,8.241,0.275877
125,8.308,0.273615
126,8.375,0.273443
127,8.442,0.271377
128,8.509,0.268974
129,8.576,0.264896
130,8.643,0.261408
131,8.71,0.260794
132,8.777,0.258524
133,8.844,0.258575
134,8.911,0.258454
135,8.978,0.256477
136,9.045,0.257009
137,9.112,0.256849
138,9.179,0.256113
139,9.246,0.255855
140,9.313,0.251832
141,9.38,0.249194
142,9.447,0.248227
143,9.514,0.245941
144,9.581,0.243957
145,9.648,0.243073
146,9.715,0.241186
147,9.782,0.239652
148,9.849,0.23912
149,9.916,0.238255
150,9.983,0.238662
151,10.05,0.237613
152,10.117,0.236576
153,10.184,0.236748
154,10.251,0.236388
155,10.318,0.236474
156,10.385,0.236423
157,10.452,0.236478
158,10.519,0.237492
159,10.586,0.237911
160,10.653,0.238173
161,10.72,0.238889
162,10.787,0.239519
163,10.854,0.240075
164,10.921,0.239895
165,10.988,0.238678
166,11.055,0.237746
167,11.122,0.237836
168,11.189,0.237707
169,11.256,0.237793
170,11.323,0.237797
171,11.39,0.238298
172,11.457,0.238114
173,11.524,0.238435
174,11.591,0.238717
175,11.658,0.239206
176,11.725,0.239406
177,11.792,0.239973
178,11.859,0.240192
179,11.926,0.239785
180,11.993,0.239773
181,12.06,0.238423
182,12.127,0.238623
183,12.194,0.238999
184,12.261,0.239006
185,12.328,0.239296
186,12.395,0.2391
187,12.462,0.238885
188,12.529,0.238873
189,12.596,0.238877
190,12.663,0.238826
191,12.73,0.238556
192,12.797,0.238498
193,12.864,0.238701
194,12.931,0.238384
195,12.998,0.238228
196,13.065,0.238243
197,13.132,0.238466
198,13.199,0.237633
199,13.266,0.237621
200,13.333,0.237453
201,13.4,0.237331
202,13.467,0.237273
203,13.534,0.2373
204,13.601,0.238126
205,13.668,0.238067
206,13.735,0.238016
207,13.802,0.237656
208,13.869,0.237402
209,13.936,0.237374
210,14.003,0.237527
211,14.07,0.237441
212,14.137,0.23732
