frame,Time,Density
1,0,0
4,0.2,0
7,0.4,0
10,0.6,0.0703913
13,0.8,0.0649977
16,1,0.0693079
19,1.2,0.0649951
22,1.4,0.0587912
25,1.6,0.0621728
28,1.8,0.0759644
31,2,0.0985793
34,2.2,0.115641
37,2.4,0.122741
40,2.6,0.123395
43,2.8,0.118364
46,3,0.108826
49,3.2,0.0956335
52,3.4,0.0813021
55,3.6,0.0650862
58,3.8,0.0542183
61,4,0.0519592
64,4.2,0.0577833
67,4.4,0.061927
70,4.6,0.0588147
73,4.8,0.0581032
76,5,0.0590045
79,5.2,0.0642499
82,5.4,0.0699205
85,5.6,0.081306
88,5.8,0.0891604
91,6,0.095108
94,6.2,0.098383
97,6.4,0.103017
100,6.6,0.104087
103,6.8,0.101693
106,7,0.105434
109,7.2,0.105937
112,7.4,0.110576
115,7.6,0.114106
118,7.8,0.130347
121,8,0.143592
124,8.2,0.152077
127,8.4,0.152634
130,8.6,0.153548
133,8.8,0.155642
136,9,0.160629
139,9.2,0.158553
142,9.4,0.158721
145,9.6,0.150141
148,9.8,0.139816
151,10,0.124976
154,10.2,0.11775
157,10.4,0.114711
160,10.6,0.114629
163,10.8,0.112189
166,11,0.111167
169,11.2,0.1195
172,11.4,0.121309
175,11.6,0.116114
178,11.8,0.104848
181,12,0.0903634
184,12.2,0.089561
187,12.4,0.0819628
190,12.6,0.0787321
193,12.8,0.057077
196,13,0.0597706
199,13.2,0.049077
202,13.4,0.0498639
205,13.6,0.0262397
208,13.8,0.0224706
211,14,0.0235956
214,14.2,0.0234447
217,14.4,0.0288188
220,14.6,0.0637804
223,14.8,0.0685874
226,15,0.0719508
229,15.2,0.0373235
232,15.4,0.0350253
235,15.6,0.0287629
238,15.8,0.0245346
241,16,0.021434
244,16.2,0.0270942
247,16.4,0.0250236
250,16.6,0.0242914
253,16.8,0.0140712
256,17,0.0121659
259,17.2,0.0113894
262,17.4,0.0207264
265,17.6,0.0263477
268,17.8,0.0295341
271,18,0.0437537
274,18.2,0.0416467
277,18.4,0.0386215
280,18.6,0.0158895
283,18.8,0.017791
286,19,0.0244709
289,19.2,0.0288812
292,19.4,0.0291986
295,19.6,0.0225629
298,19.8,0.0244891
301,20,0.0216733
304,20.2,0.0300648
307,20.4,0.0263138
310,20.6,0.0276925
313,20.8,0.022905
316,21,0.0212298
319,21.2,0.0483188
322,21.4,0.0650042
325,21.6,0.0820305
328,21.8,0.0666313
