density,time
0.180213,0
0.178676,0.067
0.179761,0.134
0.180654,0.201
0.182937,0.268
0.183541,0.335
0.184813,0.402
0.189866,0.469
0.192176,0.536
0.195192,0.603
0.199406,0.67
0.20197,0.737
0.2052,0.804
0.206016,0.871
0.205364,0.938
0.205368,1.005
0.20369,1.072
0.202734,1.139
0.198333,1.206
0.193881,1.273
0.194385,1.34
0.193795,1.407
0.194556,1.474
0.195364,1.541
0.192687,1.608
0.194131,1.675
0.197639,1.742
0.202094,1.809
0.204014,1.876
0.206582,1.943
0.208466,2.01
0.208981,2.077
0.210249,2.144
0.210624,2.211
0.211322,2.278
0.211299,2.345
0.210078,2.412
0.208782,2.479
0.209137,2.546
0.209364,2.613
0.208435,2.68
0.209001,2.747
0.208689,2.814
0.208899,2.881
0.207054,2.948
0.206429,3.015
0.205899,3.082
0.205454,3.149
0.206554,3.216
0.207623,3.283
0.208895,3.35
0.209754,3.417
0.210308,3.484
0.210362,3.551
0.212017,3.618
0.212348,3.685
0.212754,3.752
0.215006,3.819
0.215283,3.886
0.21183,3.953
0.210874,4.02
0.210121,4.087
0.208868,4.154
0.206242,4.221
0.205801,4.288
0.201962,4.355
0.201505,4.422
0.201338,4.489
0.200694,4.556
0.201189,4.623
0.199231,4.69
0.19824,4.757
0.198532,4.824
0.199262,4.891
0.201314,4.958
0.202387,5.025
0.204603,5.092
0.207826,5.159
0.211428,5.226
0.218958,5.293
0.227238,5.36
0.231093,5.427
0.237691,5.494
0.244,5.561
0.256856,5.628
0.262655,5.695
0.266084,5.762
0.270423,5.829
0.276393,5.896
0.27953,5.963
0.282047,6.03
0.282921,6.097
0.284836,6.164
0.282082,6.231
0.28127,6.298
0.2777,6.365
0.272667,6.432
0.271898,6.499
0.265776,6.566
0.262826,6.633
0.260907,6.7
0.255491,6.767
0.2537,6.834
0.254355,6.901
0.251214,6.968
0.253033,7.035
0.257262,7.102
0.260473,7.169
0.261718,7.236
0.265495,7.303
0.268074,7.37
0.264535,7.437
0.268023,7.504
0.271617,7.571
0.272397,7.638
0.274575,7.705
0.277361,7.772
0.276623,7.839
0.275261,7.906
0.274301,7.973
0.274434,8.04
0.277165,8.107
0.277048,8.174
0.276198,8.241
0.273911,8.308
0.273763,8.375
0.271722,8.442
0.269331,8.509
0.265261,8.576
0.261784,8.643
0.261176,8.71
0.258901,8.777
0.258952,8.844
0.258827,8.911
0.256786,8.978
0.257332,9.045
0.257169,9.112
0.256443,9.179
0.256201,9.246
0.252198,9.313
0.249583,9.38
0.248612,9.447
0.246333,9.514
0.244355,9.581
0.243481,9.648
0.241596,9.715
0.240075,9.782
0.23954,9.849
0.238682,9.916
0.239095,9.983
0.23805,10.05
0.237016,10.117
0.237187,10.184
0.236825,10.251
0.23691,10.318
0.236867,10.385
0.236914,10.452
0.23789,10.519
0.238307,10.586
0.238569,10.653
0.239283,10.72
0.239911,10.787
0.240469,10.854
0.240297,10.921
0.239084,10.988
0.238155,11.055
0.238245,11.122
0.238112,11.189
0.238202,11.256
0.23821,11.323
0.238709,11.39
0.238518,11.457
0.238834,11.524
0.239127,11.591
0.239614,11.658
0.239813,11.725
0.240379,11.792
0.240594,11.859
0.240184,11.926
0.240176,11.993
0.238811,12.06
0.23901,12.127
0.23938,12.194
0.239388,12.261
0.239681,12.328
0.239486,12.395
0.239283,12.462
0.239275,12.529
0.239275,12.596
0.239216,12.663
0.238947,12.73
0.238889,12.797
0.239099,12.864
0.238787,12.931
0.238631,12.998
0.238643,13.065
0.238873,13.132
0.238034,13.199
0.238015,13.266
0.237843,13.333
0.237722,13.4
0.237663,13.467
0.237691,13.534
0.238518,13.601
0.238459,13.668
0.238413,13.735
0.238054,13.802
0.237816,13.869
0.23778,13.936
0.237929,14.003
0.237831,14.07
0.237714,14.137
0.237425,14.204
0.237406,14.271
0.237472,14.338
0.237792,14.405
0.237804,14.472
0.237671,14.539
0.237226,14.606
0.23599,14.673
0.236009,14.74
0.235943,14.807
0.235217,14.874
0.233352,14.941
0.233063,15.008
0.233063,15.075
0.233301,15.142
0.234222,15.209
0.234366,15.276
0.23517,15.343
0.23581,15.41
0.236173,15.477
0.235947,15.544
0.23519,15.611
0.235264,15.678
0.235186,15.745
0.23567,15.812
0.235299,15.879
0.235498,15.946
0.235908,16.013
0.235693,16.08
0.236056,16.147
0.235689,16.214
0.235978,16.281
0.235568,16.348
0.235416,16.415
0.235615,16.482
0.235576,16.549
0.235545,16.616
0.234085,16.683
0.233606,16.75
0.233504,16.817
0.233664,16.884
0.233137,16.951
0.233063,17.018
0.236782,17.085
0.239712,17.152
0.240921,17.219
0.243118,17.286
0.246037,17.353
0.247,17.42
0.24924,17.487
0.252026,17.554
0.252447,17.621
0.254375,17.688
0.255487,17.755
0.254168,17.822
0.253462,17.889
0.253048,17.956
0.252416,18.023
0.251413,18.09
0.250922,18.157
0.249646,18.224
0.249158,18.291
0.247633,18.358
0.246474,18.425
0.245373,18.492
0.243446,18.559
0.24249,18.626
0.241858,18.693
0.242264,18.76
0.242459,18.827
0.242139,18.894
0.242619,18.961
0.243395,19.028
0.243454,19.095
0.243762,19.162
0.243227,19.229
0.242006,19.296
0.241288,19.363
0.240715,19.43
0.240223,19.497
0.239259,19.564
0.238768,19.631
0.237574,19.698
0.237098,19.765
0.237297,19.832
0.236134,19.899
0.236228,19.966
0.236048,20.033
0.235837,20.1
0.236216,20.167
