time,density
0,0.180213
0.2,0.180654
0.4,0.184813
0.6,0.195192
0.8,0.2052
1,0.205368
1.2,0.198333
1.4,0.193795
1.6,0.192687
1.8,0.202094
2,0.208466
2.2,0.210624
2.4,0.210078
2.6,0.209364
2.8,0.208689
3,0.206429
3.2,0.206554
3.4,0.209754
3.6,0.212017
3.8,0.215006
4,0.210874
4.2,0.206242
4.4,0.201505
4.6,0.201189
4.8,0.198532
5,0.202387
5.2,0.211428
5.4,0.231093
5.6,0.256856
5.8,0.270423
6,0.282047
6.2,0.282082
6.4,0.272667
6.6,0.262826
6.8,0.2537
7,0.253033
7.2,0.261718
7.4,0.264535
7.6,0.272397
7.8,0.276623
8,0.274434
8.2,0.276198
8.4,0.271722
8.6,0.261784
8.8,0.258952
9,0.257332
9.2,0.256201
9.4,0.248612
9.6,0.243481
9.8,0.23954
10,0.23805
10.2,0.236825
10.4,0.236914
10.6,0.238569
10.8,0.240469
11,0.238155
11.2,0.238202
11.4,0.238518
11.6,0.239614
11.8,0.240594
12,0.238811
12.2,0.239388
12.4,0.239283
12.6,0.239216
12.8,0.239099
13,0.238643
13.2,0.238015
13.4,0.237663
13.6,0.238459
13.8,0.237816
14,0.237831
14.2,0.237406
14.4,0.237804
14.6,0.23599
14.8,0.235217
15,0.233063
15.2,0.234366
15.4,0.236173
15.6,0.235264
15.8,0.235299
16,0.235693
16.2,0.235978
16.4,0.235615
16.6,0.234085
16.8,0.233664
17,0.236782
17.2,0.243118
17.4,0.24924
17.6,0.254375
17.8,0.253462
18,0.251413
18.2,0.249158
18.4,0.245373
18.6,0.241858
18.8,0.242139
19,0.243454
19.2,0.242006
19.4,0.240223
19.6,0.237574
19.8,0.236134
20,0.235837
20.2,0.236251
20.4,0.235779
20.6,0.2359
20.8,0.236157
21,0.239618
21.2,0.244445
21.4,0.250617
21.6,0.252748
21.8,0.252139
22,0.251979
22.2,0.250668
22.4,0.248401
22.6,0.247129
22.8,0.245483
23,0.245151
23.2,0.24551
23.4,0.245721
23.6,0.248015
23.8,0.254535
24,0.259736
24.2,0.263384
24.4,0.262561
24.6,0.26317
24.8,0.265792
25,0.274567
25.2,0.285691
25.4,0.298563
25.6,0.312009
25.8,0.322465
26,0.333012
26.2,0.354238
26.4,0.367102
26.6,0.377559
26.8,0.388929
27,0.394809
27.2,0.400104
27.4,0.406382
27.6,0.414603
27.8,0.421552
28,0.427565
28.2,0.431502
28.4,0.43808
28.6,0.442095
28.8,0.443777
29,0.447257
29.2,0.447222
29.4,0.447331
29.6,0.446965
29.8,0.446184
30,0.446024
30.2,0.445462
30.4,0.443984
30.6,0.44316
30.8,0.446137
31,0.447296
31.2,0.447339
31.4,0.448693
31.6,0.452049
31.8,0.466708
32,0.494496
32.2,0.510217
32.4,0.514536
32.6,0.517088
32.8,0.515949
33,0.516581
33.2,0.516101
33.4,0.51813
33.6,0.524474
33.8,0.522172
34,0.520592
34.2,0.519991
34.4,0.52083
34.6,0.520814
34.8,0.520319
35,0.515227
35.2,0.516187
35.4,0.516038
35.6,0.517291
35.8,0.518223
36,0.519819
36.2,0.524579
36.4,0.530151
36.6,0.54714
36.8,0.55792
37,0.56551
37.2,0.569333
37.4,0.582104
37.6,0.588561
37.8,0.589884
38,0.590633
38.2,0.597692
38.4,0.596681
38.6,0.596662
38.8,0.598815
39,0.601812
39.2,0.606635
39.4,0.608355
39.6,0.617521
39.8,0.617872
40,0.616838
40.2,0.621106
40.4,0.621614
40.6,0.619979
40.8,0.615308
41,0.614427
41.2,0.608738
41.4,0.608492
41.6,0.608121
41.8,0.61086
42,0.609698
42.2,0.60633
42.4,0.603868
42.6,0.603416
42.8,0.606717
43,0.605203
43.2,0.6077
43.4,0.611048
43.6,0.617458
43.8,0.62612
44,0.632188
44.2,0.654888
44.4,0.654568
44.6,0.656133
44.8,0.656024
45,0.658915
45.2,0.662552
45.4,0.66764
45.6,0.670605
45.8,0.682779
46,0.68798
46.2,0.691222
46.4,0.692123
46.6,0.693048
46.8,0.694535
47,0.694816
47.2,0.69553
47.4,0.704043
47.6,0.703396
47.8,0.703684
48,0.702163
48.2,0.703501
48.4,0.70139
48.6,0.701125
48.8,0.696509
49,0.697055
49.2,0.693196
49.4,0.689205
49.6,0.689439
49.8,0.690469
50,0.701269
50.2,0.70228
50.4,0.711305
50.6,0.714621
50.8,0.717665
51,0.718878
51.2,0.720096
51.4,0.720131
51.6,0.719729
51.8,0.719651
52,0.720599
52.2,0.720517
52.4,0.72008
52.6,0.719893
52.8,0.719698
53,0.719038
53.2,0.718578
53.4,0.717992
53.6,0.718035
53.8,0.717618
54,0.717481
54.2,0.717466
54.4,0.717501
54.6,0.717497
54.8,0.718285
55,0.7207
55.2,0.721563
55.4,0.721863
55.6,0.722366
55.8,0.722308
56,0.722027
56.2,0.722011
56.4,0.720903
56.6,0.71999
56.8,0.719963
57,0.719955
57.2,0.719116
57.4,0.719385
57.6,0.719366
57.8,0.718902
58,0.718199
58.2,0.717665
58.4,0.717501
58.6,0.717758
58.8,0.718898
59,0.717992
59.2,0.717333
59.4,0.717193
59.6,0.71697
59.8,0.715718
60,0.715526
60.2,0.712943
60.4,0.714383
60.6,0.715577
60.8,0.715441
61,0.714972
61.2,0.714941
61.4,0.715472
61.6,0.71601
61.8,0.715043
62,0.715273
62.2,0.713841
62.4,0.713103
62.6,0.713291
62.8,0.712741
63,0.712819
63.2,0.712963
63.4,0.712721
63.6,0.713498
63.8,0.713755
64,0.713677
64.2,0.713919
64.4,0.71418
64.6,0.71459
64.8,0.714957
65,0.715288
65.2,0.714695
65.4,0.714574
65.6,0.714262
65.8,0.71427
66,0.714188
66.2,0.714582
66.4,0.714493
66.6,0.714879
66.8,0.711937
67,0.712323
67.2,0.712425
67.4,0.713045
67.6,0.713302
67.8,0.713041
68,0.712616
68.2,0.714485
68.4,0.715019
68.6,0.714219
68.8,0.714816
69,0.71461
69.2,0.713423
69.4,0.710883
69.6,0.70976
69.8,0.708866
70,0.707645
70.2,0.707071
70.4,0.706392
70.6,0.70768
70.8,0.709287
71,0.70917
71.2,0.70512
71.4,0.695748
71.6,0.70052
71.8,0.703415
72,0.70688
72.2,0.708968
72.4,0.709845
72.6,0.710091
72.8,0.712241
73,0.71285
73.2,0.713326
73.4,0.713697
73.6,0.714512
73.8,0.714844
74,0.714816
74.2,0.714489
74.4,0.715792
74.6,0.714176
74.8,0.713057
75,0.712721
75.2,0.712229
75.4,0.711558
75.6,0.710844
75.8,0.710368
76,0.709221
76.2,0.708733
76.4,0.708991
76.6,0.71084
76.8,0.711668
77,0.712791
77.2,0.71219
77.4,0.7115
77.6,0.712183
77.8,0.712171
78,0.71191
78.2,0.711863
78.4,0.710353
78.6,0.710228
78.8,0.710688
79,0.708667
79.2,0.707797
79.4,0.707824
79.6,0.706978
79.8,0.705951
80,0.706147
80.2,0.70656
80.4,0.705827
80.6,0.705124
80.8,0.705436
81,0.705936
81.2,0.707138
81.4,0.706833
81.6,0.705772
81.8,0.705893
82,0.703513
82.2,0.704679
82.4,0.705932
82.6,0.705838
82.8,0.706139
83,0.705237
83.2,0.705214
83.4,0.705155
83.6,0.705967
83.8,0.706525
84,0.705409
84.2,0.705358
84.4,0.704356
84.6,0.703103
84.8,0.704781
85,0.704102
85.2,0.702549
85.4,0.701628
85.6,0.702916
85.8,0.703724
86,0.704652
86.2,0.705405
86.4,0.70631
86.6,0.708179
86.8,0.708995
