frame,Time,Density
4,0,0
7,0.2,0
10,0.4,0
13,0.6,0.109333
16,0.8,0.12
19,1,0.110667
22,1.2,0.102667
25,1.4,0.088
28,1.6,0.0906667
31,1.8,0.108
34,2,0.114667
37,2.2,0.124
40,2.4,0.121333
43,2.6,0.121333
46,2.8,0.114667
49,3,0.109333
52,3.2,0.114667
55,3.4,0.110667
58,3.6,0.109333
61,3.8,0.114667
64,4,0.124
67,4.2,0.121333
70,4.4,0.1
73,4.6,0.084
76,4.8,0.0733333
79,5,0.072
82,5.2,0.0733333
85,5.4,0.092
88,5.6,0.105333
91,5.8,0.122667
94,6,0.132
97,6.2,0.144
100,6.4,0.148
103,6.6,0.132
106,6.8,0.117333
109,7,0.102667
112,7.2,0.106667
115,7.4,0.122667
118,7.6,0.138667
121,7.8,0.144
124,8,0.148
127,8.2,0.161333
130,8.4,0.174667
133,8.6,0.192
136,8.8,0.197333
139,9,0.210667
142,9.2,0.205333
145,9.4,0.198667
148,9.6,0.194667
151,9.8,0.181333
154,10,0.165333
157,10.2,0.138667
160,10.4,0.132
163,10.6,0.125333
166,10.8,0.128
169,11,0.116
172,11.2,0.12
175,11.4,0.117333
178,11.6,0.124
181,11.8,0.114667
184,12,0.112
187,12.2,0.0973333
190,12.4,0.088
193,12.6,0.0613333
196,12.8,0.048
199,13,0.0333333
202,13.2,0.0293333
205,13.4,0.0213333
208,13.6,0.0146667
211,13.8,0.0133333
214,14,0.012
217,14.2,0.012
220,14.4,0.008
223,14.6,0.008
226,14.8,0.00666667
229,15,0.008
232,15.2,0.00933333
235,15.4,0.0133333
238,15.6,0.0186667
241,15.8,0.02
244,16,0.0186667
247,16.2,0.0106667
250,16.4,0.00933333
253,16.6,0.00666667
256,16.8,0.0106667
259,17,0.008
262,17.2,0.00666667
265,17.4,0.004
268,17.6,0.004
271,17.8,0.004
274,18,0.004
277,18.2,0.00266667
280,18.4,0.012
283,18.6,0.0253333
286,18.8,0.044
289,19,0.052
292,19.2,0.0546667
295,19.4,0.0546667
298,19.6,0.0506667
301,19.8,0.0466667
304,20,0.0386667
307,20.2,0.0306667
310,20.4,0.0253333
313,20.6,0.02
316,20.8,0.02
319,21,0.0173333
322,21.2,0.016
325,21.4,0.012
328,21.6,0.0133333
331,21.8,0.0133333
334,22,0.0133333
337,22.2,0.008
340,22.4,0.0133333
343,22.6,0.0293333
346,22.8,0.044
349,23,0.0506667
352,23.2,0.0506667
355,23.4,0.0546667
358,23.6,0.0586667
361,23.8,0.0533333
364,24,0.0466667
367,24.2,0.0413333
370,24.4,0.0413333
373,24.6,0.04
376,24.8,0.0426667
379,25,0.0426667
382,25.2,0.044
385,25.4,0.0506667
388,25.6,0.0693333
391,25.8,0.0906667
394,26,0.1
397,26.2,0.0986667
400,26.4,0.0853333
403,26.6,0.0853333
406,26.8,0.0813333
409,27,0.0746667
412,27.2,0.056
415,27.4,0.0546667
418,27.6,0.0626667
421,27.8,0.0706667
424,28,0.0826667
427,28.2,0.1
430,28.4,0.118667
433,28.6,0.108
436,28.8,0.101333
439,29,0.0933333
442,29.2,0.0933333
445,29.4,0.088
448,29.6,0.0973333
451,29.8,0.102667
454,30,0.105333
457,30.2,0.0973333
460,30.4,0.102667
463,30.6,0.104
466,30.8,0.1
469,31,0.0946667
472,31.2,0.096
475,31.4,0.0946667
478,31.6,0.0946667
481,31.8,0.0906667
484,32,0.0826667
487,32.2,0.068
490,32.4,0.0586667
493,32.6,0.052
496,32.8,0.044
499,33,0.0293333
502,33.2,0.0333333
505,33.4,0.044
508,33.6,0.0626667
511,33.8,0.0813333
514,34,0.096
517,34.2,0.113333
520,34.4,0.121333
523,34.6,0.126667
526,34.8,0.126667
529,35,0.132
532,35.2,0.134667
535,35.4,0.145333
538,35.6,0.133333
541,35.8,0.125333
544,36,0.116
547,36.2,0.118667
550,36.4,0.116
553,36.6,0.105333
556,36.8,0.105333
559,37,0.105333
562,37.2,0.132
565,37.4,0.145333
568,37.6,0.176
571,37.8,0.168
574,38,0.149333
577,38.2,0.116
580,38.4,0.0826667
583,38.6,0.068
586,38.8,0.0626667
589,39,0.0733333
592,39.2,0.0773333
595,39.4,0.084
598,39.6,0.0893333
601,39.8,0.101333
604,40,0.105333
607,40.2,0.109333
610,40.4,0.121333
613,40.6,0.129333
616,40.8,0.152
619,41,0.158667
622,41.2,0.173333
625,41.4,0.169333
628,41.6,0.161333
631,41.8,0.156
634,42,0.149333
637,42.2,0.152
640,42.4,0.141333
643,42.6,0.122667
646,42.8,0.112
649,43,0.116
652,43.2,0.132
655,43.4,0.134667
658,43.6,0.121333
661,43.8,0.109333
664,44,0.102667
667,44.2,0.106667
670,44.4,0.108
673,44.6,0.102667
676,44.8,0.101333
679,45,0.0946667
682,45.2,0.096
685,45.4,0.0986667
688,45.6,0.101333
691,45.8,0.110667
694,46,0.113333
697,46.2,0.125333
700,46.4,0.126667
703,46.6,0.125333
706,46.8,0.118667
709,47,0.108
712,47.2,0.101333
715,47.4,0.088
718,47.6,0.0773333
721,47.8,0.0626667
724,48,0.056
727,48.2,0.0493333
730,48.4,0.0466667
733,48.6,0.044
736,48.8,0.04
739,49,0.0373333
742,49.2,0.0386667
745,49.4,0.04
748,49.6,0.04
751,49.8,0.0346667
754,50,0.0333333
757,50.2,0.036
760,50.4,0.0386667
763,50.6,0.0426667
766,50.8,0.04
769,51,0.036
772,51.2,0.0306667
775,51.4,0.0253333
778,51.6,0.0253333
781,51.8,0.0253333
784,52,0.028
787,52.2,0.0306667
790,52.4,0.036
793,52.6,0.044
796,52.8,0.052
799,53,0.0626667
802,53.2,0.0693333
805,53.4,0.0773333
808,53.6,0.0826667
811,53.8,0.0893333
814,54,0.0866667
817,54.2,0.0826667
820,54.4,0.0813333
823,54.6,0.0773333
826,54.8,0.0666667
829,55,0.0493333
832,55.2,0.0413333
835,55.4,0.0373333
838,55.6,0.04
841,55.8,0.0426667
844,56,0.0426667
847,56.2,0.04
850,56.4,0.036
853,56.6,0.036
856,56.8,0.04
859,57,0.044
862,57.2,0.0453333
865,57.4,0.0466667
868,57.6,0.048
871,57.8,0.0453333
874,58,0.0373333
877,58.2,0.028
880,58.4,0.02
883,58.6,0.012
886,58.8,0.004
889,59,0.00666667
892,59.2,0.00933333
895,59.4,0.0133333
898,59.6,0.0106667
901,59.8,0.00933333
904,60,0.00533333
907,60.2,0.00266667
910,60.4,0.00133333
913,60.6,0.00133333
916,60.8,0.00133333
919,61,0
922,61.2,0
925,61.4,0
928,61.6,0
931,61.8,0
934,62,0
937,62.2,0
940,62.4,0.00266667
943,62.6,0.00666667
946,62.8,0.012
949,63,0.0133333
952,63.2,0.012
955,63.4,0.00933333
958,63.6,0.008
961,63.8,0.008
964,64,0.008
967,64.2,0.00666667
970,64.4,0.004
973,64.6,0.00266667
976,64.8,0.00266667
979,65,0.00666667
982,65.2,0.00933333
985,65.4,0.0133333
988,65.6,0.0146667
991,65.8,0.0133333
994,66,0.0106667
997,66.2,0.008
1000,66.4,0.00666667
1003,66.6,0.008
1006,66.8,0.0106667
1009,67,0.016
1012,67.2,0.0226667
1015,67.4,0.024
1018,67.6,0.0266667
1021,67.8,0.0226667
1024,68,0.0213333
1027,68.2,0.0173333
1030,68.4,0.0133333
1033,68.6,0.0146667
1036,68.8,0.0133333
1039,69,0.012
1042,69.2,0.012
1045,69.4,0.016
1048,69.6,0.0226667
1051,69.8,0.0293333
1054,70,0.0293333
1057,70.2,0.0293333
1060,70.4,0.0253333
1063,70.6,0.0253333
1066,70.8,0.024
1069,71,0.0173333
1072,71.2,0.016
1075,71.4,0.016
1078,71.6,0.0226667
1081,71.8,0.024
1084,72,0.024
1087,72.2,0.0213333
1090,72.4,0.016
1093,72.6,0.0146667
1096,72.8,0.0146667
1099,73,0.02
1102,73.2,0.024
1105,73.4,0.0293333
1108,73.6,0.0306667
1111,73.8,0.0333333
1114,74,0.032
1117,74.2,0.028
1120,74.4,0.0253333
1123,74.6,0.024
1126,74.8,0.028
1129,75,0.0306667
1132,75.2,0.0306667
1135,75.4,0.0333333
1138,75.6,0.036
1141,75.8,0.0413333
1144,76,0.0466667
1147,76.2,0.048
1150,76.4,0.0533333
1153,76.6,0.0573333
1156,76.8,0.0733333
1159,77,0.0813333
1162,77.2,0.0826667
1165,77.4,0.076
1168,77.6,0.0693333
1171,77.8,0.0693333
1174,78,0.064
1177,78.2,0.0546667
1180,78.4,0.0453333
1183,78.6,0.0386667
1186,78.8,0.0426667
1189,79,0.0466667
1192,79.2,0.044
1195,79.4,0.04
1198,79.6,0.0346667
1201,79.8,0.0373333
1204,80,0.04
1207,80.2,0.0373333
1210,80.4,0.032
1213,80.6,0.0213333
1216,80.8,0.016
1219,81,0.00933333
1222,81.2,0.008
1225,81.4,0.00666667
1228,81.6,0.0146667
1231,81.8,0.0213333
1234,82,0.032
1237,82.2,0.0346667
1240,82.4,0.0413333
1243,82.6,0.0413333
1246,82.8,0.0493333
1249,83,0.0466667
1252,83.2,0.048
1255,83.4,0.04
1258,83.6,0.044
1261,83.8,0.048
1264,84,0.0466667
1267,84.2,0.0413333
1270,84.4,0.0386667
1273,84.6,0.0386667
1276,84.8,0.04
1279,85,0.0386667
1282,85.2,0.0413333
1285,85.4,0.0413333
1288,85.6,0.0426667
1291,85.8,0.0493333
1294,86,0.056
1297,86.2,0.056
1300,86.4,0.0493333
1303,86.6,0.0426667
1306,86.8,0.0333333
1309,87,0.028
1312,87.2,0.0213333
1315,87.4,0.0226667
1318,87.6,0.0226667
1321,87.8,0.0266667
1324,88,0.0306667
1327,88.2,0.032
1330,88.4,0.0266667
1333,88.6,0.02
1336,88.8,0.0133333
1339,89,0.016
1342,89.2,0.0226667
1345,89.4,0.0293333
1348,89.6,0.0306667
1351,89.8,0.0293333
1354,90,0.0253333
1357,90.2,0.0253333
1360,90.4,0.0226667
1363,90.6,0.0293333
1366,90.8,0.0333333
1369,91,0.0413333
1372,91.2,0.0386667
1375,91.4,0.0346667
1378,91.6,0.0306667
1381,91.8,0.0373333
1384,92,0.044
1387,92.2,0.0466667
1390,92.4,0.0386667
1393,92.6,0.032
1396,92.8,0.0266667
1399,93,0.028
1402,93.2,0.0253333
1405,93.4,0.0226667
1408,93.6,0.0173333
1411,93.8,0.0173333
1414,94,0.0226667
1417,94.2,0.0346667
1420,94.4,0.0426667
1423,94.6,0.0413333
